r,A,r_scaled,A_scaled
346,376148,0.692,1.504592
469,691096,0.938,2.764384
325,331864,0.65,1.327456
251,197916,0.502,0.791664
277,241056,0.554,0.964224
458,659024,0.916,2.636096
442,613756,0.884,2.455024
272,232440,0.544,0.92976
291,266064,0.582,1.064256
204,130768,0.408,0.523072
263,217288,0.526,0.869152
323,327760,0.646,1.31104
431,583644,0.862,2.334576
476,711828,0.952,2.847312
233,170580,0.466,0.68232
433,589016,0.866,2.356064
207,134624,0.414,0.538496
224,157648,0.448,0.630592
226,160480,0.452,0.64192
407,520408,0.814,2.081632
273,234148,0.546,0.936592
345,373896,0.69,1.495584
202,128196,0.404,0.512784
358,402684,0.716,1.610736
248,193236,0.496,0.772944
296,275260,0.592,1.10104
299,280908,0.598,1.123632
477,714868,0.954,2.859472
232,169104,0.464,0.676416
436,597264,0.872,2.389056
230,166196,0.46,0.664784
420,554148,0.84,2.216592
439,605480,0.878,2.42192
482,729924,0.964,2.919696
448,630548,0.896,2.522192
424,564824,0.848,2.259296
341,365284,0.682,1.461136
227,161892,0.454,0.647568
214,143868,0.428,0.575472
455,650384,0.91,2.601536
440,608228,0.88,2.432912
314,309784,0.628,1.239136
447,627768,0.894,2.511072
498,779152,0.996,3.116608
488,748172,0.976,2.992688
339,361072,0.678,1.444288
381,456092,0.762,1.824368
305,292288,0.61,1.169152
397,495204,0.794,1.980816
401,505216,0.802,2.020864
330,342140,0.66,1.36856
496,772956,0.992,3.091824
475,708832,0.95,2.835328
293,269724,0.586,1.078896
430,580872,0.86,2.323488
467,685144,0.934,2.740576
449,633372,0.898,2.533488
286,257008,0.572,1.028032
283,251640,0.566,1.00656
247,191676,0.494,0.766704
365,418576,0.73,1.674304
359,404936,0.718,1.619744
356,398184,0.712,1.592736
344,371756,0.688,1.487024
472,699928,0.944,2.799712
378,448884,0.756,1.795536
254,202744,0.508,0.810976
201,126928,0.402,0.507712
355,395956,0.71,1.583824
445,622156,0.89,2.488624
403,510212,0.806,2.040848
309,299984,0.618,1.199936
295,273428,0.59,1.093712
245,188604,0.49,0.754416
491,757396,0.982,3.029584
301,284644,0.602,1.138576
456,653248,0.912,2.612992
300,282792,0.6,1.131168
374,439408,0.748,1.757632
485,738956,0.97,2.955824
229,164744,0.458,0.658976
212,141192,0.424,0.564768
316,313724,0.632,1.254896
373,437112,0.746,1.748448
329,340076,0.658,1.360304
322,325784,0.644,1.303136
281,248060,0.562,0.99224
292,267888,0.584,1.071552
417,546292,0.834,2.185168
369,427740,0.738,1.71096
461,667648,0.922,2.670592
217,147948,0.434,0.591792
494,766700,0.988,3.0668
240,180960,0.48,0.72384
289,262376,0.578,1.049504
362,411632,0.724,1.646528
398,497660,0.796,1.99064
404,512784,0.808,2.051136
349,382660,0.698,1.53064
220,152088,0.44,0.608352
451,638988,0.902,2.555952
438,602704,0.876,2.410816
414,538468,0.828,2.153872
324,329804,0.648,1.319216
446,624948,0.892,2.499792
311,303848,0.622,1.215392
486,742064,0.972,2.968256
350,384852,0.7,1.539408
402,507728,0.804,2.030912
237,176488,0.474,0.705952
497,775996,0.994,3.103984
487,745120,0.974,2.98048
246,190120,0.492,0.76048
357,400384,0.714,1.601536
470,694032,0.94,2.776128
499,782268,0.998,3.129072
278,242820,0.556,0.97128
265,220620,0.53,0.88248
319,319704,0.638,1.278816
255,204296,0.51,0.817184
306,294168,0.612,1.176672
409,525556,0.818,2.102224
266,222304,0.532,0.889216
342,367480,0.684,1.46992
415,541060,0.83,2.16424
333,348372,0.666,1.393488
384,463304,0.768,1.853216
481,726896,0.962,2.907584
