r,C,r_scaled,C_scaled
247,1634.58701192691,0.494,3.26917402385382
427,2826.21356237305,0.854,5.6524271247461
435,2880.84097937102,0.87,5.76168195874203
496,3284.4877323527,0.992,6.56897546470541
360,2383.93939239338,0.72,4.76787878478676
54,355.362481734265,0.108,0.710724963468529
309,2043.89061915813,0.618,4.08778123831626
142,937.518902707871,0.284,1.87503780541574
459,3040.0369388639,0.918,6.0800738777278
156,1030.77373670381,0.312,2.06154747340762
368,2436.22366364084,0.736,4.87244732728167
241,1593.61644917843,0.482,3.18723289835686
127,838.607214462439,0.254,1.67721442892488
401,2655.70389438117,0.802,5.31140778876235
478,3163.91918985779,0.956,6.32783837971559
405,2680.67445712965,0.81,5.3613489142593
166,1096.71486220076,0.332,2.19342972440153
296,1958.63578516219,0.592,3.91727157032438
332,2197.42972440152,0.664,4.39485944880305
206,1362.82250993909,0.412,2.72564501987818
92,607.813275223098,0.184,1.2156265504462
375,2482.8510806388,0.75,4.9657021612776
495,3278.83087810321,0.99,6.55766175620642
99,654.440692221068,0.198,1.30888138444214
81,533.872149726143,0.162,1.06774429945229
178,1176.31284194721,0.356,2.35262568389442
452,2993.40952186593,0.904,5.98681904373186
210,1387.79307268757,0.42,2.77558614537514
163,1077.40115370178,0.326,2.15480230740356
295,1952.9789309127,0.59,3.90595786182539
107,706.72496346853,0.214,1.41344992693706
144,951.175756957363,0.288,1.90235151391473
312,2065.54747340762,0.624,4.13109494681524
71,467.931024229189,0.142,0.935862048458378
420,2779.58614537508,0.84,5.55917229075016
133,879.577777210916,0.266,1.75915555442183
293,1939.3220766632,0.586,3.87864415332641
355,2350.96882964491,0.71,4.70193765928981
395,2614.7333316327,0.79,5.2294666632654
168,1110.37171645026,0.336,2.22074343290051
177,1170.65598769772,0.354,2.34131197539544
125,824.950360212946,0.25,1.64990072042589
358,2370.28253814389,0.716,4.74056507628778
140,923.862048458378,0.28,1.84772409691676
159,1050.08744520279,0.318,2.10017489040559
222,1467.39105243401,0.444,2.93478210486803
383,2535.13535188626,0.766,5.07027070377252
274,1813.09667991879,0.548,3.62619335983758
315,2084.86118190661,0.63,4.16972236381321
98,646.440692221067,0.196,1.29288138444213
300,1985.94949366117,0.6,3.97189898732235
255,1686.87128317437,0.51,3.37374256634874
115,759.009234715992,0.23,1.51801846943198
52,341.705627484772,0.104,0.683411254969544
169,1118.37171645026,0.338,2.23674343290051
53,347.362481734265,0.106,0.694724963468529
259,1714.18499167336,0.518,3.42836998334671
74,487.244732728174,0.148,0.974489465456348
240,1587.95959492894,0.48,3.17591918985788
186,1230.94025894518,0.372,2.46188051789036
190,1255.91082169366,0.38,2.51182164338732
340,2249.71399564898,0.68,4.49942799129796
213,1409.44992693706,0.426,2.81889985387412
282,1865.38095116625,0.564,3.7307619023325
176,1162.65598769772,0.352,2.32531197539544
317,2098.5180361561,0.634,4.1970360723122
91,599.813275223098,0.182,1.1996265504462
337,2230.40028715,0.674,4.4608005743
468,3097.97806436085,0.936,6.19595612872169
267,1766.46926292082,0.534,3.53293852584164
376,2488.50793488829,0.752,4.97701586977658
370,2449.88051789033,0.74,4.89976103578065
430,2847.87041662254,0.86,5.69574083324508
310,2051.89061915813,0.62,4.10378123831626
467,3092.32121011135,0.934,6.18464242022271
351,2323.65512114593,0.702,4.64731024229185
367,2430.56680939134,0.734,4.86113361878269
69,454.274169979696,0.138,0.908548339959393
323,2137.14545315407,0.646,4.27429090630813
262,1733.49870017234,0.524,3.46699740034468
121,799.979797464469,0.242,1.59995959492894
294,1944.9789309127,0.588,3.88995786182539
170,1124.02857069975,0.34,2.2480571413995
215,1423.10678118655,0.43,2.84621356237311
363,2403.25310089236,0.726,4.80650620178472
112,739.695526217007,0.224,1.47939105243401
146,964.832611206856,0.292,1.92966522241371
466,3086.66435586186,0.932,6.17332871172373
433,2867.18412512152,0.866,5.73436825024305
248,1640.2438661764,0.496,3.2804877323528
482,3191.23289835678,0.964,6.38246579671355
202,1335.50880144011,0.404,2.67101760288021
101,665.754400720052,0.202,1.3315088014401
414,2740.95872837711,0.828,5.48191745675422
273,1807.4398256693,0.546,3.61487965133859
73,481.587878478681,0.146,0.963175756957363
445,2946.78210486797,0.89,5.89356420973593
224,1481.04790668351,0.448,2.96209581336701
79,520.215295476651,0.158,1.0404305909533
93,613.47012947259,0.186,1.22694025894518
211,1395.79307268757,0.422,2.79158614537514
