r,A,r_scaled,A_scaled
270,229020,0.54,0.91608
350,384852,0.7,1.539408
373,437112,0.746,1.748448
255,204296,0.51,0.817184
332,346292,0.664,1.385168
365,418576,0.73,1.674304
331,344184,0.662,1.376736
421,556856,0.842,2.227424
269,227336,0.538,0.909344
227,161892,0.454,0.647568
353,391496,0.706,1.565984
322,325784,0.644,1.303136
257,207544,0.514,0.830176
461,667648,0.922,2.670592
488,748172,0.976,2.992688
351,387064,0.702,1.548256
387,470552,0.774,1.882208
319,319704,0.638,1.278816
287,258796,0.574,1.035184
355,395956,0.71,1.583824
415,541060,0.83,2.16424
311,303848,0.622,1.215392
225,159068,0.45,0.636272
330,342140,0.66,1.36856
346,376148,0.692,1.504592
463,673452,0.926,2.693808
376,444160,0.752,1.77664
354,393712,0.708,1.574848
388,472952,0.776,1.891808
299,280908,0.598,1.123632
284,253404,0.568,1.013616
499,782268,0.998,3.129072
497,775996,0.994,3.103984
223,156264,0.446,0.625056
381,456092,0.762,1.824368
238,177968,0.476,0.711872
405,515320,0.81,2.06128
470,694032,0.94,2.776128
228,163340,0.456,0.65336
247,191676,0.494,0.766704
279,244580,0.558,0.97832
329,340076,0.658,1.360304
325,331864,0.65,1.327456
318,317700,0.636,1.2708
203,129488,0.406,0.517952
416,543696,0.832,2.174784
230,166196,0.46,0.664784
283,251640,0.566,1.00656
367,423152,0.734,1.692608
349,382660,0.698,1.53064
487,745120,0.974,2.98048
366,420836,0.732,1.683344
440,608228,0.88,2.432912
233,170580,0.466,0.68232
382,458464,0.764,1.833856
402,507728,0.804,2.030912
347,378340,0.694,1.51336
383,460852,0.766,1.843408
393,485200,0.786,1.9408
352,389284,0.704,1.557136
465,679356,0.93,2.717424
262,215684,0.524,0.862736
292,267888,0.584,1.071552
417,546292,0.834,2.185168
328,337960,0.656,1.35184
371,432440,0.742,1.72976
363,413996,0.726,1.655984
260,212376,0.52,0.849504
403,510212,0.806,2.040848
471,696972,0.942,2.787888
232,169104,0.464,0.676416
479,720844,0.958,2.883376
494,766700,0.988,3.0668
356,398184,0.712,1.592736
407,520408,0.814,2.081632
316,313724,0.632,1.254896
384,463304,0.768,1.853216
489,751208,0.978,3.004832
290,264220,0.58,1.05688
281,248060,0.562,0.99224
266,222304,0.532,0.889216
456,653248,0.912,2.612992
277,241056,0.554,0.964224
242,184028,0.484,0.736112
276,239348,0.552,0.957392
317,315768,0.634,1.263072
476,711828,0.952,2.847312
312,305844,0.624,1.223376
390,477880,0.78,1.91152
340,363176,0.68,1.452704
264,218964,0.528,0.875856
300,282792,0.6,1.131168
236,175004,0.472,0.700016
268,225640,0.536,0.90256
304,290356,0.608,1.161424
272,232440,0.544,0.92976
434,591732,0.868,2.366928
406,517892,0.812,2.071568
333,348372,0.666,1.393488
358,402684,0.716,1.610736
495,769848,0.99,3.079392
343,369636,0.686,1.478544
327,335956,0.654,1.343824
307,296092,0.614,1.184368
267,223996,0.534,0.895984
235,173512,0.47,0.694048
477,714868,0.954,2.859472
315,311756,0.63,1.247024
389,475452,0.778,1.901808
491,757396,0.982,3.029584
221,153456,0.442,0.613824
291,266064,0.582,1.064256
411,530740,0.822,2.12296
229,164744,0.458,0.658976
485,738956,0.97,2.955824
472,699928,0.944,2.799712
467,685144,0.934,2.740576
301,284644,0.602,1.138576
460,664796,0.92,2.659184
263,217288,0.526,0.869152
359,404936,0.718,1.619744
208,135948,0.416,0.543792
245,188604,0.49,0.754416
310,301916,0.62,1.207664
428,575548,0.856,2.302192
444,619336,0.888,2.477344
380,453668,0.76,1.814672
200,125676,0.4,0.502704
391,480280,0.782,1.92112
308,298032,0.616,1.192128
443,616532,0.886,2.466128
252,199496,0.504,0.797984
220,152088,0.44,0.608352
244,187068,0.488,0.748272
446,624948,0.892,2.499792
378,448884,0.756,1.795536
212,141192,0.424,0.564768
237,176488,0.474,0.705952
251,197916,0.502,0.791664
442,613756,0.884,2.455024
438,602704,0.876,2.410816
210,138536,0.42,0.554144
410,528112,0.82,2.112448
345,373896,0.69,1.495584
207,134624,0.414,0.538496
484,735968,0.968,2.943872
285,255208,0.57,1.020832
430,580872,0.86,2.323488
309,299984,0.618,1.199936
431,583644,0.862,2.334576
475,708832,0.95,2.835328
441,611000,0.882,2.444
364,416284,0.728,1.665136
293,269724,0.586,1.078896
234,171988,0.468,0.687952
253,201100,0.506,0.8044
303,288408,0.606,1.153632
214,143868,0.428,0.575472
432,586292,0.864,2.345168
201,126928,0.402,0.507712
493,763556,0.986,3.054224
483,732920,0.966,2.93168
256,205892,0.512,0.823568
206,133344,0.412,0.533376
414,538468,0.828,2.153872
241,182512,0.482,0.730048
323,327760,0.646,1.31104
436,597264,0.872,2.389056
335,352580,0.67,1.41032
215,145232,0.43,0.580928
498,779152,0.996,3.116608
360,407188,0.72,1.628752
296,275260,0.592,1.10104
468,688028,0.936,2.752112
394,487692,0.788,1.950768
240,180960,0.48,0.72384
458,659024,0.916,2.636096
474,705868,0.948,2.823472
374,439408,0.748,1.757632
492,760464,0.984,3.041856
452,641896,0.904,2.567584
453,644680,0.906,2.57872
218,149344,0.436,0.597376
202,128196,0.404,0.512784
361,409404,0.722,1.637616
445,622156,0.89,2.488624
321,323708,0.642,1.294832
368,425488,0.736,1.701952
282,249836,0.564,0.999344
397,495204,0.794,1.980816
250,196364,0.5,0.785456
286,257008,0.572,1.028032
239,179412,0.478,0.717648
379,451224,0.758,1.804896
224,157648,0.448,0.630592
248,193236,0.496,0.772944
449,633372,0.898,2.533488
466,682216,0.932,2.728864
392,482756,0.784,1.931024
205,132020,0.41,0.52808
409,525556,0.818,2.102224
454,647572,0.908,2.590288
464,676408,0.928,2.705632
480,723804,0.96,2.895216
280,246288,0.56,0.985152
469,691096,0.938,2.764384
395,490172,0.79,1.960688
412,533260,0.824,2.13304
448,630548,0.896,2.522192
337,356792,0.674,1.427168
157,77452,0.314,0.309808
179,100668,0.358,0.402672
78,19116,0.156,0.076464
64,12892,0.128,0.051568
138,59848,0.276,0.239392
135,57268,0.27,0.229072
128,51468,0.256,0.205872
193,117032,0.386,0.468128
178,99552,0.356,0.398208
121,46008,0.242,0.184032
72,16292,0.144,0.065168
105,34664,0.21,0.138656
144,65168,0.288,0.260672
100,31428,0.2,0.125712
162,82452,0.324,0.329808
73,16752,0.146,0.067008
90,25448,0.18,0.101792
69,14964,0.138,0.059856
188,111044,0.376,0.444176
187,109888,0.374,0.439552
111,38704,0.222,0.154816
148,68836,0.296,0.275344
101,32052,0.202,0.128208
117,43020,0.234,0.17208
197,121900,0.394,0.4876
182,104076,0.364,0.416304
160,80452,0.32,0.321808
166,86556,0.332,0.346224
91,26008,0.182,0.104032
84,22172,0.168,0.088688
143,64284,0.286,0.257136
115,41564,0.23,0.166256
102,32688,0.204,0.130752
122,46792,0.244,0.187168
181,102920,0.362,0.41168
119,44512,0.238,0.178048
57,10216,0.114,0.040864
142,63344,0.284,0.253376
174,95132,0.348,0.380528
54,9176,0.108,0.036704
71,15856,0.142,0.063424
95,28372,0.19,0.113488
123,47516,0.246,0.190064
159,79416,0.318,0.317664
164,84504,0.328,0.338016
110,38024,0.22,0.152096
131,53924,0.262,0.215696
130,53096,0.26,0.212384
52,8492,0.104,0.033968
118,43748,0.236,0.174992
165,85564,0.33,0.342256
129,52276,0.258,0.209104
196,120692,0.392,0.482768
146,66964,0.292,0.267856
149,69748,0.298,0.278992
98,30172,0.196,0.120688
136,58128,0.272,0.232512
81,20636,0.162,0.082544
120,45244,0.24,0.180976
70,15380,0.14,0.06152
134,56428,0.268,0.225712
167,87624,0.334,0.350496
168,88700,0.336,0.3548
104,33992,0.208,0.135968
140,61572,0.28,0.246288
53,8820,0.106,0.03528
109,37340,0.218,0.14936
106,35316,0.212,0.141264
59,10960,0.118,0.04384
180,101780,0.36,0.40712
172,92952,0.344,0.371808
103,33332,0.206,0.133328
99,30792,0.198,0.123168
