r,A,r_scaled,A_scaled
484,735968,0.968,2.943872
217,147948,0.434,0.591792
396,492672,0.792,1.970688
376,444160,0.752,1.77664
418,548920,0.836,2.19568
313,307788,0.626,1.231152
463,673452,0.926,2.693808
387,470552,0.774,1.882208
226,160480,0.452,0.64192
270,229020,0.54,0.91608
381,456092,0.762,1.824368
229,164744,0.458,0.658976
316,313724,0.632,1.254896
244,187068,0.488,0.748272
373,437112,0.746,1.748448
366,420836,0.732,1.683344
464,676408,0.928,2.705632
243,185520,0.486,0.74208
493,763556,0.986,3.054224
334,350520,0.668,1.40208
412,533260,0.824,2.13304
395,490172,0.79,1.960688
223,156264,0.446,0.625056
349,382660,0.698,1.53064
284,253404,0.568,1.013616
252,199496,0.504,0.797984
307,296092,0.614,1.184368
280,246288,0.56,0.985152
294,271520,0.588,1.08608
481,726896,0.962,2.907584
312,305844,0.624,1.223376
495,769848,0.99,3.079392
433,589016,0.866,2.356064
303,288408,0.606,1.153632
231,167652,0.462,0.670608
261,214036,0.522,0.856144
285,255208,0.57,1.020832
452,641896,0.904,2.567584
485,738956,0.97,2.955824
342,367480,0.684,1.46992
305,292288,0.61,1.169152
309,299984,0.618,1.199936
446,624948,0.892,2.499792
271,230720,0.542,0.92288
247,191676,0.494,0.766704
306,294168,0.612,1.176672
320,321696,0.64,1.286784
225,159068,0.45,0.636272
210,138536,0.42,0.554144
258,209128,0.516,0.836512
350,384852,0.7,1.539408
250,196364,0.5,0.785456
474,705868,0.948,2.823472
410,528112,0.82,2.112448
467,685144,0.934,2.740576
288,260600,0.576,1.0424
414,538468,0.828,2.153872
276,239348,0.552,0.957392
451,638988,0.902,2.555952
241,182512,0.482,0.730048
228,163340,0.456,0.65336
416,543696,0.832,2.174784
377,446548,0.754,1.786192
497,775996,0.994,3.103984
427,572848,0.854,2.291392
204,130768,0.408,0.523072
332,346292,0.664,1.385168
321,323708,0.642,1.294832
289,262376,0.578,1.049504
255,204296,0.51,0.817184
300,282792,0.6,1.131168
351,387064,0.702,1.548256
415,541060,0.83,2.16424
419,551560,0.838,2.20624
318,317700,0.636,1.2708
345,373896,0.69,1.495584
472,699928,0.944,2.799712
435,594504,0.87,2.378016
437,599964,0.874,2.399856
360,407188,0.72,1.628752
378,448884,0.756,1.795536
380,453668,0.76,1.814672
389,475452,0.778,1.901808
239,179412,0.478,0.717648
265,220620,0.53,0.88248
232,169104,0.464,0.676416
423,562164,0.846,2.248656
268,225640,0.536,0.90256
278,242820,0.556,0.97128
368,425488,0.736,1.701952
331,344184,0.662,1.376736
422,559488,0.844,2.237952
216,146604,0.432,0.586416
283,251640,0.566,1.00656
429,578212,0.858,2.312848
443,616532,0.886,2.466128
383,460852,0.766,1.843408
445,622156,0.89,2.488624
253,201100,0.506,0.8044
401,505216,0.802,2.020864
403,510212,0.806,2.040848
354,393712,0.708,1.574848
238,177968,0.476,0.711872
308,298032,0.616,1.192128
220,152088,0.44,0.608352
235,173512,0.47,0.694048
355,395956,0.71,1.583824
375,441788,0.75,1.767152
202,128196,0.404,0.512784
240,180960,0.48,0.72384
254,202744,0.508,0.810976
330,342140,0.66,1.36856
269,227336,0.538,0.909344
