r,A,r_scaled,A_scaled
348,380496,0.696,1.521984
451,638988,0.902,2.555952
293,269724,0.586,1.078896
450,636160,0.9,2.54464
276,239348,0.552,0.957392
406,517892,0.812,2.071568
423,562164,0.846,2.248656
308,298032,0.616,1.192128
244,187068,0.488,0.748272
322,325784,0.644,1.303136
396,492672,0.792,1.970688
470,694032,0.94,2.776128
273,234148,0.546,0.936592
297,277128,0.594,1.108512
479,720844,0.958,2.883376
440,608228,0.88,2.432912
233,170580,0.466,0.68232
269,227336,0.538,0.909344
378,448884,0.756,1.795536
458,659024,0.916,2.636096
275,237608,0.55,0.950432
295,273428,0.59,1.093712
389,475452,0.778,1.901808
407,520408,0.814,2.081632
360,407188,0.72,1.628752
272,232440,0.544,0.92976
303,288408,0.606,1.153632
248,193236,0.496,0.772944
421,556856,0.842,2.227424
405,515320,0.81,2.06128
312,305844,0.624,1.223376
373,437112,0.746,1.748448
241,182512,0.482,0.730048
236,175004,0.472,0.700016
326,333868,0.652,1.335472
240,180960,0.48,0.72384
345,373896,0.69,1.495584
309,299984,0.618,1.199936
280,246288,0.56,0.985152
262,215684,0.524,0.862736
492,760464,0.984,3.041856
387,470552,0.774,1.882208
374,439408,0.748,1.757632
239,179412,0.478,0.717648
491,757396,0.982,3.029584
476,711828,0.952,2.847312
325,331864,0.65,1.327456
425,567412,0.85,2.269648
206,133344,0.412,0.533376
304,290356,0.608,1.161424
364,416284,0.728,1.665136
235,173512,0.47,0.694048
332,346292,0.664,1.385168
316,313724,0.632,1.254896
422,559488,0.844,2.237952
489,751208,0.978,3.004832
452,641896,0.904,2.567584
344,371756,0.688,1.487024
204,130768,0.408,0.523072
349,382660,0.698,1.53064
478,717824,0.956,2.871296
465,679356,0.93,2.717424
264,218964,0.528,0.875856
401,505216,0.802,2.020864
245,188604,0.49,0.754416
461,667648,0.922,2.670592
266,222304,0.532,0.889216
436,597264,0.872,2.389056
328,337960,0.656,1.35184
448,630548,0.896,2.522192
391,480280,0.782,1.92112
495,769848,0.99,3.079392
201,126928,0.402,0.507712
214,143868,0.428,0.575472
232,169104,0.464,0.676416
208,135948,0.416,0.543792
414,538468,0.828,2.153872
377,446548,0.754,1.786192
462,670556,0.924,2.682224
439,605480,0.878,2.42192
402,507728,0.804,2.030912
249,194824,0.498,0.779296
500,785456,1,3.141824
246,190120,0.492,0.76048
376,444160,0.752,1.77664
494,766700,0.988,3.0668
258,209128,0.516,0.836512
486,742064,0.972,2.968256
305,292288,0.61,1.169152
331,344184,0.662,1.376736
319,319704,0.638,1.278816
286,257008,0.572,1.028032
283,251640,0.566,1.00656
284,253404,0.568,1.013616
243,185520,0.486,0.74208
403,510212,0.806,2.040848
300,282792,0.6,1.131168
335,352580,0.67,1.41032
428,575548,0.856,2.302192
366,420836,0.732,1.683344
357,400384,0.714,1.601536
413,535856,0.826,2.143424
420,554148,0.84,2.216592
404,512784,0.808,2.051136
242,184028,0.484,0.736112
445,622156,0.89,2.488624
301,284644,0.602,1.138576
399,500200,0.798,2.0008
347,378340,0.694,1.51336
207,134624,0.414,0.538496
442,613756,0.884,2.455024
411,530740,0.822,2.12296
394,487692,0.788,1.950768
453,644680,0.906,2.57872
355,395956,0.71,1.583824
449,633372,0.898,2.533488
346,376148,0.692,1.504592
311,303848,0.622,1.215392
238,177968,0.476,0.711872
313,307788,0.626,1.231152
205,132020,0.41,0.52808
225,159068,0.45,0.636272
444,619336,0.888,2.477344
435,594504,0.87,2.378016
257,207544,0.514,0.830176
252,199496,0.504,0.797984
385,465696,0.77,1.862784
324,329804,0.648,1.319216
368,425488,0.736,1.701952
271,230720,0.542,0.92288
223,156264,0.446,0.625056
438,602704,0.876,2.410816
290,264220,0.58,1.05688
321,323708,0.642,1.294832
330,342140,0.66,1.36856
291,266064,0.582,1.064256
474,705868,0.948,2.823472
499,782268,0.998,3.129072
268,225640,0.536,0.90256
221,153456,0.442,0.613824
424,564824,0.848,2.259296
463,673452,0.926,2.693808
416,543696,0.832,2.174784
310,301916,0.62,1.207664
212,141192,0.424,0.564768
409,525556,0.818,2.102224
496,772956,0.992,3.091824
473,702856,0.946,2.811424
466,682216,0.932,2.728864
