x,y,t
0.651453486015766,0.650737782311969,1
0.701766074496212,0.475855725107647,1
0.671198325544222,0.4510493867337,1
0.584503523346271,0.637179774528919,1
0.370229165707822,0.330651501813276,1
0.421671068026531,0.295997935950755,1
0.537236430466751,0.450206426647588,1
0.589772722027159,0.309656224357735,1
0.60655003208972,0.382892960395148,1
0.441520835478567,0.496696843065646,1
0.566689214933053,0.306530714643435,1
0.389557275171185,0.617781223551268,1
0.463380735117654,0.615513858672005,1
0.593603672270479,0.318856772649501,1
0.506092258964708,0.309921060367451,1
0.695499125260627,0.543644716750665,1
0.699037382239028,0.438826676662465,1
0.547447455836203,0.346095199392222,1
0.540341187520112,0.741979581649406,1
0.580929686585874,0.635751786937822,1
0.323359038365706,0.611363323224412,1
0.618255480946161,0.675808741560117,1
0.385909099311526,0.424845413968361,1
0.498624125262082,0.508763402006013,1
0.73700623853924,0.496719971530475,1
0.631259456105185,0.641515066214611,1
0.496729398377579,0.46744883221921,1
0.653945478915211,0.64338061569416,1
0.547446969685819,0.560280422940981,1
0.612333767866871,0.456750235267333,1
0.525430887250896,0.407245719994998,1
0.409324064110091,0.376539729245258,1
0.582140425956873,0.71450374448416,1
0.495895270023446,0.446504419411767,1
0.463912293065298,0.645597834906354,1
0.581175028151448,0.44928901803181,1
0.566550952180545,0.724346540739921,1
0.471402937300225,0.499759444268308,1
0.505203819603288,0.266835486640611,1
0.388639171323105,0.673846946877356,1
0.725258325098668,0.472294706605512,1
0.670684013362361,0.36689020058461,1
0.273925662633928,0.397310804295033,1
0.421186167942912,0.412010033341129,1
0.406371626260863,0.277490512131476,1
0.391648767232731,0.293501335332869,1
0.5717934186439,0.496493427314094,1
0.682668872495493,0.389821194293826,1
0.458810889375774,0.744152468975704,1
0.655685815334174,0.541212511035247,1
0.481491855569879,0.713968074281685,1
0.566093029717958,0.288094824779823,1
0.537904592481397,0.446189839600674,1
0.56159076679572,0.635696349030219,1
0.504759760342892,0.502329841490057,1
0.391000364623498,0.610264272713225,1
0.492912720187061,0.531828516410584,1
0.612754260009506,0.320233297683407,1
0.694596135380955,0.37066718580698,1
