r,A,r_scaled,A_scaled
370,429026.346666667,0.74,1.71610538666667
430,582114.506666667,0.86,2.32845802666667
355,395382.433333333,0.71,1.58152973333333
415,543013.943333333,0.83,2.17205577333333
465,682377.27,0.93,2.72950908
245,188214.39,0.49,0.75285756
385,464102.356666667,0.77,1.85640942666667
410,525861.626666667,0.82,2.10344650666667
340,363754.666666667,0.68,1.45501866666667
450,632664,0.9,2.530656
270,229557.24,0.54,0.91822896
295,275033.81,0.59,1.10013524
440,607749.12,0.88,2.43099648
310,302381.853333333,0.62,1.20952741333333
285,255035.67,0.57,1.02014268
280,245015.68,0.56,0.98006272
375,440137.5,0.75,1.76055
290,264903.786666667,0.58,1.05961514666667
485,744283.263333333,0.97,2.97713305333333
460,665891.093333333,0.92,2.66356437333333
405,514294.92,0.81,2.05717968
360,407583.36,0.72,1.63033344
390,479581.44,0.78,1.91832576
420,556059.84,0.84,2.22423936
260,211957.546666667,0.52,0.847830186666667
490,752825.546666667,0.98,3.01130218666667
380,454032.106666667,0.76,1.81612842666667
225,158105.25,0.45,0.632421
500,787233.333333333,1,3.14893333333333
445,619184.57,0.89,2.47673828
480,722165.76,0.96,2.88866304
250,196250,0.5,0.785
205,132031.343333333,0.41,0.528125373333333
240,181125.12,0.48,0.72450048
475,708041.333333333,0.95,2.83216533333333
255,204369.24,0.51,0.81747696
305,290225.596666667,0.61,1.16090238666667
230,166966.506666667,0.46,0.667866026666667
300,281100,0.6,1.1244
210,138679.8,0.42,0.5547192
200,125408,0.4,0.501632
365,419747.566666667,0.73,1.67899026666667
195,119900.43,0.39,0.47960172
155,75909.39,0.31,0.30363756
85,22721.18,0.17,0.09088472
135,57316.41,0.27,0.22926564
190,114008.613333333,0.38,0.456034453333333
75,17593.5,0.15,0.070374
70,15397.76,0.14,0.06159104
55,9493.25666666667,0.11,0.0379730266666667
50,7803,0.1,0.031212
100,31420,0.2,0.12568
95,28342.11,0.19,0.11336844
125,48989.5833333333,0.25,0.195958333333333
140,61630.24,0.28,0.24652096
130,53041.2133333333,0.26,0.212164853333333
105,34634.67,0.21,0.13853868
80,20144.64,0.16,0.08057856
120,45356.16,0.24,0.18142464
110,38074.6666666667,0.22,0.152298666666667
180,101476.8,0.36,0.4059072
65,13300.8633333333,0.13,0.0532034533333333
170,90838.48,0.34,0.36335392
