SNo,x,y,t
0,0.0667469348137951,0.0701595088793708,0
1,0.774765135149828,0.511139268759237,0
2,0.797490558492714,0.827308291023275,0
3,0.165958795308116,0.736130623489679,0
4,0.26021636475819,0.506004851081411,1
5,0.230273722312541,0.387140443263175,0
6,0.215980615101746,0.0208108848989061,0
7,0.134833602297508,0.740831733560577,0
8,0.195091067904183,0.887039565894306,0
9,0.861100613540551,0.358865063804605,0
10,0.103702260229598,0.529583051581673,0
11,0.358755016866492,0.707505481181436,0
12,0.580474831899849,0.620548322620126,1
13,0.732496631672837,0.747882739989032,0
14,0.396251060718787,0.245257239902977,0
15,0.686345072317098,0.210546193742448,0
16,0.517537586631969,0.485390965121515,1
17,0.252805452911558,0.770778849148554,0
18,0.00257893931240725,0.483912114279304,0
19,0.44795790335534,0.486460426583169,1
20,0.711577390651953,0.451247725845896,1
21,0.269952356941044,0.283040513881967,0
22,0.635241387242098,0.294778646107194,1
23,0.369533596266775,0.852680676548127,0
24,0.17566556398555,0.852200557874609,0
25,0.644354575613679,0.615833414539617,1
26,0.441520835478567,0.496696843065646,1
27,0.0301035349397471,0.537163883232122,0
28,0.711404492012879,0.0672596539683918,0
29,0.930664436859388,0.176942235872588,0
30,0.0948116593504379,0.418076055319084,0
31,0.339879562770892,0.0149591248552125,0
32,0.819659778764313,0.019727528570093,0
33,0.869602856631206,0.730589649980231,0
34,0.768005431987348,0.364054753148954,0
35,0.73825279424817,0.711178953624879,0
36,0.439081662538965,0.374640186957382,1
37,0.647287673152651,0.652454534383702,1
38,0.259630694640628,0.0757145029845249,0
39,0.0722640939393379,0.285696185792655,0
40,0.25101472635335,0.87981595512471,0
41,0.572217176003483,0.544050502844178,1
42,0.600902664289299,0.0705116577774806,0
43,0.769025358263881,0.0208407435663234,0
44,0.455287430181768,0.715641569679436,1
45,0.0593743571356751,0.935319285344015,0
46,0.553247677419916,0.271015667482752,1
47,0.391648767232731,0.293501335332869,1
48,0.111368163075004,0.254993232085832,0
49,0.463380735117654,0.615513858672005,1
50,0.425175789475989,0.638943946286544,1
51,0.0846752445607797,0.811610810836596,0
52,0.113947763626439,0.933175621988799,0
53,0.176751752000652,0.0668806485211852,0
54,0.849409169912994,0.377649000556045,0
55,0.277533188591494,0.635689989028354,0
56,0.994995560029054,0.644968251066733,0
57,0.925927509519238,0.214995704225728,0
58,0.845858879315601,0.795829059926713,0
59,0.414056460565914,0.749148120986832,0
60,0.250702170306212,0.848762113064882,0
61,0.275302219798463,0.0523638623079117,0
62,0.304680396013279,0.802933508904154,0
63,0.157931276204964,0.168065995056213,0
64,0.98299141972465,0.353786337819782,0
65,0.541086371308699,0.00463746255479635,0
66,0.612333767866871,0.456750235267333,1
67,0.860520396316666,0.612070780066806,0
68,0.79514071056393,0.760606365166887,0
69,0.430102739217739,0.6677270423005,1
70,0.893759905776829,0.702144709742695,0
71,0.171431573653329,0.0776384296257228,0
72,0.438108381087942,0.423684368107321,1
73,0.940323725314962,0.908279426353182,0
74,0.345088157963514,0.176653063007003,0
75,0.447642456017268,0.31553910314829,1
76,0.840936771519918,0.714232614130821,0
77,0.364811688365793,0.576413676411106,1
78,0.363641726488081,0.032311382252868,0
79,0.506930414823317,0.311014254722285,1
80,0.775244345783835,0.00868575694443926,0
81,0.0838892287965348,0.495622832093212,0
82,0.836562629247346,0.272895726036697,0
83,0.023356221161483,0.538245324761721,0
84,0.784447854750067,0.313856729452432,0
85,0.419854993661798,0.0852525141487143,0
86,0.365726320708974,0.746329418265414,0
87,0.855388215210004,0.548557460563517,0
88,0.677330539411553,0.197663790172741,0
89,0.614255481219969,0.880996027905958,0
90,0.862609783589193,0.249651849851781,0
91,0.822977837092698,0.806338356717647,0
92,0.906143881802514,0.225547268160408,0
93,0.163700691034878,0.89810115373605,0
94,0.0919385469015402,0.28410671990556,0
95,0.248429053578726,0.762829328311062,0
96,0.25367595034357,0.119088484495454,0
97,0.892482696516664,0.885074148832389,0
98,0.618255480946161,0.675808741560117,1
99,0.241075800378377,0.165212655051245,0
100,0.400328146945838,0.402078400553241,1
101,0.123831571603115,0.0312314285110829,0
102,0.756798069345205,0.362389941868554,0
103,0.949812782439316,0.0946073532545042,0
104,0.858844398920817,0.816254227802276,0
105,0.899083136999553,0.16597793631534,0
106,0.418055901032899,0.625934386917359,1
107,0.448404471133093,0.525592495932054,1
108,0.185707919851741,0.277550872078888,0
109,0.589478950290698,0.611015361086938,1
110,0.109195035001819,0.125255067425433,0
