r,A,r_scaled,A_scaled
340,363176,0.68,1.452704
404,512784,0.808,2.051136
236,175004,0.472,0.700016
238,177968,0.476,0.711872
339,361072,0.678,1.444288
353,391496,0.706,1.565984
261,214036,0.522,0.856144
485,738956,0.97,2.955824
345,373896,0.69,1.495584
204,130768,0.408,0.523072
358,402684,0.716,1.610736
282,249836,0.564,0.999344
224,157648,0.448,0.630592
264,218964,0.528,0.875856
426,570148,0.852,2.280592
442,613756,0.884,2.455024
447,627768,0.894,2.511072
319,319704,0.638,1.278816
335,352580,0.67,1.41032
275,237608,0.55,0.950432
481,726896,0.962,2.907584
272,232440,0.544,0.92976
449,633372,0.898,2.533488
370,430112,0.74,1.720448
255,204296,0.51,0.817184
304,290356,0.608,1.161424
200,125676,0.4,0.502704
292,267888,0.584,1.071552
342,367480,0.684,1.46992
459,661916,0.918,2.647664
420,554148,0.84,2.216592
477,714868,0.954,2.859472
333,348372,0.666,1.393488
457,656172,0.914,2.624688
439,605480,0.878,2.42192
289,262376,0.578,1.049504
379,451224,0.758,1.804896
486,742064,0.972,2.968256
416,543696,0.832,2.174784
372,434780,0.744,1.73912
241,182512,0.482,0.730048
313,307788,0.626,1.231152
213,142556,0.426,0.570224
324,329804,0.648,1.319216
402,507728,0.804,2.030912
410,528112,0.82,2.112448
323,327760,0.646,1.31104
328,337960,0.656,1.35184
240,180960,0.48,0.72384
480,723804,0.96,2.895216
489,751208,0.978,3.004832
225,159068,0.45,0.636272
246,190120,0.492,0.76048
203,129488,0.406,0.517952
253,201100,0.506,0.8044
443,616532,0.886,2.466128
493,763556,0.986,3.054224
414,538468,0.828,2.153872
382,458464,0.764,1.833856
413,535856,0.826,2.143424
260,212376,0.52,0.849504
417,546292,0.834,2.185168
385,465696,0.77,1.862784
368,425488,0.736,1.701952
425,567412,0.85,2.269648
479,720844,0.958,2.883376
365,418576,0.73,1.674304
399,500200,0.798,2.0008
360,407188,0.72,1.628752
351,387064,0.702,1.548256
343,369636,0.686,1.478544
398,497660,0.796,1.99064
380,453668,0.76,1.814672
212,141192,0.424,0.564768
209,137208,0.418,0.548832
468,688028,0.936,2.752112
244,187068,0.488,0.748272
418,548920,0.836,2.19568
276,239348,0.552,0.957392
490,754296,0.98,3.017184
448,630548,0.896,2.522192
201,126928,0.402,0.507712
231,167652,0.462,0.670608
429,578212,0.858,2.312848
473,702856,0.946,2.811424
258,209128,0.516,0.836512
470,694032,0.94,2.776128
270,229020,0.54,0.91608
254,202744,0.508,0.810976
383,460852,0.766,1.843408
278,242820,0.556,0.97128
327,335956,0.654,1.343824
433,589016,0.866,2.356064
247,191676,0.494,0.766704
281,248060,0.562,0.99224
430,580872,0.86,2.323488
406,517892,0.812,2.071568
427,572848,0.854,2.291392
220,152088,0.44,0.608352
317,315768,0.634,1.263072
301,284644,0.602,1.138576
462,670556,0.924,2.682224
376,444160,0.752,1.77664
435,594504,0.87,2.378016
496,772956,0.992,3.091824
234,171988,0.468,0.687952
464,676408,0.928,2.705632
291,266064,0.582,1.064256
356,398184,0.712,1.592736
463,673452,0.926,2.693808
295,273428,0.59,1.093712
214,143868,0.428,0.575472
251,197916,0.502,0.791664
290,264220,0.58,1.05688
366,420836,0.732,1.683344
297,277128,0.594,1.108512
492,760464,0.984,3.041856
396,492672,0.792,1.970688
484,735968,0.968,2.943872
314,309784,0.628,1.239136
337,356792,0.674,1.427168
320,321696,0.64,1.286784
407,520408,0.814,2.081632
369,427740,0.738,1.71096
454,647572,0.908,2.590288
294,271520,0.588,1.08608
441,611000,0.882,2.444
277,241056,0.554,0.964224
202,128196,0.404,0.512784
361,409404,0.722,1.637616
487,745120,0.974,2.98048
257,207544,0.514,0.830176
206,133344,0.412,0.533376
256,205892,0.512,0.823568
229,164744,0.458,0.658976
205,132020,0.41,0.52808
387,470552,0.774,1.882208
350,384852,0.7,1.539408
400,502652,0.8,2.010608
401,505216,0.802,2.020864
388,472952,0.776,1.891808
307,296092,0.614,1.184368
312,305844,0.624,1.223376
495,769848,0.99,3.079392
391,480280,0.782,1.92112
265,220620,0.53,0.88248
465,679356,0.93,2.717424
450,636160,0.9,2.54464
440,608228,0.88,2.432912
438,602704,0.876,2.410816
325,331864,0.65,1.327456
226,160480,0.452,0.64192
249,194824,0.498,0.779296
239,179412,0.478,0.717648
453,644680,0.906,2.57872
488,748172,0.976,2.992688
412,533260,0.824,2.13304
347,378340,0.694,1.51336
373,437112,0.746,1.748448
269,227336,0.538,0.909344
250,196364,0.5,0.785456
329,340076,0.658,1.360304
419,551560,0.838,2.20624
409,525556,0.818,2.102224
338,358916,0.676,1.435664
303,288408,0.606,1.153632
296,275260,0.592,1.10104
207,134624,0.414,0.538496
331,344184,0.662,1.376736
421,556856,0.842,2.227424
422,559488,0.844,2.237952
377,446548,0.754,1.786192
227,161892,0.454,0.647568
218,149344,0.436,0.597376
235,173512,0.47,0.694048
346,376148,0.692,1.504592
354,393712,0.708,1.574848
498,779152,0.996,3.116608
332,346292,0.664,1.385168
460,664796,0.92,2.659184
232,169104,0.464,0.676416
408,522928,0.816,2.091712
274,235912,0.548,0.943648
315,311756,0.63,1.247024
322,325784,0.644,1.303136
266,222304,0.532,0.889216
432,586292,0.864,2.345168
445,622156,0.89,2.488624
494,766700,0.988,3.0668
499,782268,0.998,3.129072
390,477880,0.78,1.91152
428,575548,0.856,2.302192
478,717824,0.956,2.871296
273,234148,0.546,0.936592
217,147948,0.434,0.591792
363,413996,0.726,1.655984
316,313724,0.632,1.254896
330,342140,0.66,1.36856
321,323708,0.642,1.294832
300,282792,0.6,1.131168
474,705868,0.948,2.823472
500,785456,1,3.141824
334,350520,0.668,1.40208
306,294168,0.612,1.176672
405,515320,0.81,2.06128
302,286520,0.604,1.14608
