r,A,r_scaled,A_scaled
115,41564,0.46,0.665024
135,57268,0.54,0.916288
230,166196,0.92,2.659136
205,132020,0.82,2.11232
160,80452,0.64,1.287232
245,188604,0.98,3.017664
220,152088,0.88,2.433408
185,107556,0.74,1.720896
240,180960,0.96,2.89536
190,113424,0.76,1.814784
110,38024,0.44,0.608384
235,173512,0.94,2.776192
250,196364,1,3.141824
155,75496,0.62,1.207936
195,119488,0.78,1.911808
170,90824,0.68,1.453184
105,34664,0.42,0.554624
100,31428,0.4,0.502848
165,85564,0.66,1.369024
180,101780,0.72,1.62848
150,70688,0.6,1.131008
80,20108,0.32,0.321728
65,13264,0.26,0.212224
55,9500,0.22,0.152
90,25448,0.36,0.407168
75,17692,0.3,0.283072
85,22704,0.34,0.363264
50,7860,0.2,0.12576
