r,A,r_scaled,A_scaled
467,685144,0.934,2.740576
261,214036,0.522,0.856144
349,382660,0.698,1.53064
396,492672,0.792,1.970688
485,738956,0.97,2.955824
379,451224,0.758,1.804896
268,225640,0.536,0.90256
389,475452,0.778,1.901808
248,193236,0.496,0.772944
416,543696,0.832,2.174784
369,427740,0.738,1.71096
500,785456,1,3.141824
272,232440,0.544,0.92976
413,535856,0.826,2.143424
409,525556,0.818,2.102224
302,286520,0.604,1.14608
460,664796,0.92,2.659184
257,207544,0.514,0.830176
340,363176,0.68,1.452704
354,393712,0.708,1.574848
386,468124,0.772,1.872496
436,597264,0.872,2.389056
417,546292,0.834,2.185168
423,562164,0.846,2.248656
472,699928,0.944,2.799712
297,277128,0.594,1.108512
494,766700,0.988,3.0668
321,323708,0.642,1.294832
449,633372,0.898,2.533488
378,448884,0.756,1.795536
310,301916,0.62,1.207664
266,222304,0.532,0.889216
351,387064,0.702,1.548256
229,164744,0.458,0.658976
487,745120,0.974,2.98048
438,602704,0.876,2.410816
447,627768,0.894,2.511072
415,541060,0.83,2.16424
276,239348,0.552,0.957392
328,337960,0.656,1.35184
414,538468,0.828,2.153872
394,487692,0.788,1.950768
293,269724,0.586,1.078896
434,591732,0.868,2.366928
425,567412,0.85,2.269648
371,432440,0.742,1.72976
359,404936,0.718,1.619744
456,653248,0.912,2.612992
452,641896,0.904,2.567584
270,229020,0.54,0.91608
263,217288,0.526,0.869152
204,130768,0.408,0.523072
239,179412,0.478,0.717648
227,161892,0.454,0.647568
464,676408,0.928,2.705632
473,702856,0.946,2.811424
346,376148,0.692,1.504592
326,333868,0.652,1.335472
306,294168,0.612,1.176672
331,344184,0.662,1.376736
443,616532,0.886,2.466128
373,437112,0.746,1.748448
390,477880,0.78,1.91152
313,307788,0.626,1.231152
247,191676,0.494,0.766704
360,407188,0.72,1.628752
325,331864,0.65,1.327456
406,517892,0.812,2.071568
393,485200,0.786,1.9408
437,599964,0.874,2.399856
308,298032,0.616,1.192128
477,714868,0.954,2.859472
358,402684,0.716,1.610736
320,321696,0.64,1.286784
220,152088,0.44,0.608352
332,346292,0.664,1.385168
430,580872,0.86,2.323488
312,305844,0.624,1.223376
475,708832,0.95,2.835328
216,146604,0.432,0.586416
364,416284,0.728,1.665136
225,159068,0.45,0.636272
285,255208,0.57,1.020832
412,533260,0.824,2.13304
392,482756,0.784,1.931024
448,630548,0.896,2.522192
228,163340,0.456,0.65336
286,257008,0.572,1.028032
336,354680,0.672,1.41872
299,280908,0.598,1.123632
209,137208,0.418,0.548832
486,742064,0.972,2.968256
298,279004,0.596,1.116016
345,373896,0.69,1.495584
214,143868,0.428,0.575472
241,182512,0.482,0.730048
242,184028,0.484,0.736112
288,260600,0.576,1.0424
398,497660,0.796,1.99064
372,434780,0.744,1.73912
453,644680,0.906,2.57872
439,605480,0.878,2.42192
495,769848,0.99,3.079392
251,197916,0.502,0.791664
468,688028,0.936,2.752112
234,171988,0.468,0.687952
424,564824,0.848,2.259296
206,133344,0.412,0.533376
410,528112,0.82,2.112448
496,772956,0.992,3.091824
207,134624,0.414,0.538496
282,249836,0.564,0.999344
353,391496,0.706,1.565984
329,340076,0.658,1.360304
355,395956,0.71,1.583824
201,126928,0.402,0.507712
256,205892,0.512,0.823568
483,732920,0.966,2.93168
384,463304,0.768,1.853216
253,201100,0.506,0.8044
445,622156,0.89,2.488624
366,420836,0.732,1.683344
324,329804,0.648,1.319216
426,570148,0.852,2.280592
202,128196,0.404,0.512784
339,361072,0.678,1.444288
224,157648,0.448,0.630592
237,176488,0.474,0.705952
296,275260,0.592,1.10104
383,460852,0.766,1.843408
440,608228,0.88,2.432912
348,380496,0.696,1.521984
480,723804,0.96,2.895216
395,490172,0.79,1.960688
342,367480,0.684,1.46992
316,313724,0.632,1.254896
388,472952,0.776,1.891808
482,729924,0.964,2.919696
318,317700,0.636,1.2708
210,138536,0.42,0.554144
476,711828,0.952,2.847312
462,670556,0.924,2.682224
459,661916,0.918,2.647664
274,235912,0.548,0.943648
334,350520,0.668,1.40208
218,149344,0.436,0.597376
474,705868,0.948,2.823472
368,425488,0.736,1.701952
273,234148,0.546,0.936592
492,760464,0.984,3.041856
230,166196,0.46,0.664784
319,319704,0.638,1.278816
357,400384,0.714,1.601536
375,441788,0.75,1.767152
215,145232,0.43,0.580928
374,439408,0.748,1.757632
236,175004,0.472,0.700016
271,230720,0.542,0.92288
429,578212,0.858,2.312848
226,160480,0.452,0.64192
264,218964,0.528,0.875856
444,619336,0.888,2.477344
400,502652,0.8,2.010608
295,273428,0.59,1.093712
433,589016,0.866,2.356064
399,500200,0.798,2.0008
450,636160,0.9,2.54464
498,779152,0.996,3.116608
466,682216,0.932,2.728864
441,611000,0.882,2.444
356,398184,0.712,1.592736
317,315768,0.634,1.263072
397,495204,0.794,1.980816
407,520408,0.814,2.081632
478,717824,0.956,2.871296
290,264220,0.58,1.05688
223,156264,0.446,0.625056
380,453668,0.76,1.814672
361,409404,0.722,1.637616
294,271520,0.588,1.08608
244,187068,0.488,0.748272
488,748172,0.976,2.992688
341,365284,0.682,1.461136
300,282792,0.6,1.131168
408,522928,0.816,2.091712
497,775996,0.994,3.103984
