r,A,r_scaled,A_scaled
495,769848,0.99,3.079392
368,425488,0.736,1.701952
221,153456,0.442,0.613824
210,138536,0.42,0.554144
427,572848,0.854,2.291392
333,348372,0.666,1.393488
394,487692,0.788,1.950768
275,237608,0.55,0.950432
376,444160,0.752,1.77664
432,586292,0.864,2.345168
287,258796,0.574,1.035184
281,248060,0.562,0.99224
308,298032,0.616,1.192128
402,507728,0.804,2.030912
411,530740,0.822,2.12296
207,134624,0.414,0.538496
389,475452,0.778,1.901808
385,465696,0.77,1.862784
372,434780,0.744,1.73912
349,382660,0.698,1.53064
448,630548,0.896,2.522192
435,594504,0.87,2.378016
489,751208,0.978,3.004832
398,497660,0.796,1.99064
237,176488,0.474,0.705952
204,130768,0.408,0.523072
407,520408,0.814,2.081632
257,207544,0.514,0.830176
326,333868,0.652,1.335472
497,775996,0.994,3.103984
227,161892,0.454,0.647568
472,699928,0.944,2.799712
261,214036,0.522,0.856144
318,317700,0.636,1.2708
482,729924,0.964,2.919696
430,580872,0.86,2.323488
298,279004,0.596,1.116016
380,453668,0.76,1.814672
254,202744,0.508,0.810976
315,311756,0.63,1.247024
258,209128,0.516,0.836512
331,344184,0.662,1.376736
228,163340,0.456,0.65336
434,591732,0.868,2.366928
345,373896,0.69,1.495584
268,225640,0.536,0.90256
348,380496,0.696,1.521984
409,525556,0.818,2.102224
490,754296,0.98,3.017184
321,323708,0.642,1.294832
263,217288,0.526,0.869152
213,142556,0.426,0.570224
224,157648,0.448,0.630592
363,413996,0.726,1.655984
387,470552,0.774,1.882208
386,468124,0.772,1.872496
220,152088,0.44,0.608352
447,627768,0.894,2.511072
286,257008,0.572,1.028032
307,296092,0.614,1.184368
344,371756,0.688,1.487024
460,664796,0.92,2.659184
459,661916,0.918,2.647664
377,446548,0.754,1.786192
360,407188,0.72,1.628752
429,578212,0.858,2.312848
342,367480,0.684,1.46992
467,685144,0.934,2.740576
451,638988,0.902,2.555952
312,305844,0.624,1.223376
364,416284,0.728,1.665136
455,650384,0.91,2.601536
327,335956,0.654,1.343824
365,418576,0.73,1.674304
358,402684,0.716,1.610736
462,670556,0.924,2.682224
222,154780,0.444,0.61912
496,772956,0.992,3.091824
392,482756,0.784,1.931024
423,562164,0.846,2.248656
419,551560,0.838,2.20624
273,234148,0.546,0.936592
373,437112,0.746,1.748448
295,273428,0.59,1.093712
212,141192,0.424,0.564768
317,315768,0.634,1.263072
296,275260,0.592,1.10104
428,575548,0.856,2.302192
469,691096,0.938,2.764384
356,398184,0.712,1.592736
253,201100,0.506,0.8044
244,187068,0.488,0.748272
340,363176,0.68,1.452704
310,301916,0.62,1.207664
458,659024,0.916,2.636096
259,210764,0.518,0.843056
498,779152,0.996,3.116608
293,269724,0.586,1.078896
274,235912,0.548,0.943648
205,132020,0.41,0.52808
250,196364,0.5,0.785456
374,439408,0.748,1.757632
440,608228,0.88,2.432912
412,533260,0.824,2.13304
463,673452,0.926,2.693808
474,705868,0.948,2.823472
323,327760,0.646,1.31104
352,389284,0.704,1.557136
280,246288,0.56,0.985152
289,262376,0.578,1.049504
371,432440,0.742,1.72976
306,294168,0.612,1.176672
443,616532,0.886,2.466128
206,133344,0.412,0.533376
413,535856,0.826,2.143424
378,448884,0.756,1.795536
245,188604,0.49,0.754416
249,194824,0.498,0.779296
211,139916,0.422,0.559664
403,510212,0.806,2.040848
282,249836,0.564,0.999344
239,179412,0.478,0.717648
292,267888,0.584,1.071552
290,264220,0.58,1.05688
487,745120,0.974,2.98048
431,583644,0.862,2.334576
309,299984,0.618,1.199936
475,708832,0.95,2.835328
225,159068,0.45,0.636272
241,182512,0.482,0.730048
200,125676,0.4,0.502704
305,292288,0.61,1.169152
335,352580,0.67,1.41032
436,597264,0.872,2.389056
313,307788,0.626,1.231152
397,495204,0.794,1.980816
232,169104,0.464,0.676416
410,528112,0.82,2.112448
484,735968,0.968,2.943872
233,170580,0.466,0.68232
202,128196,0.404,0.512784
445,622156,0.89,2.488624
297,277128,0.594,1.108512
351,387064,0.702,1.548256
478,717824,0.956,2.871296
383,460852,0.766,1.843408
234,171988,0.468,0.687952
332,346292,0.664,1.385168
471,696972,0.942,2.787888
450,636160,0.9,2.54464
415,541060,0.83,2.16424
473,702856,0.946,2.811424
396,492672,0.792,1.970688
