r,A,r_scaled,A_scaled
440,608228,0.88,2.432912
236,175004,0.472,0.700016
425,567412,0.85,2.269648
319,319704,0.638,1.278816
258,209128,0.516,0.836512
460,664796,0.92,2.659184
496,772956,0.992,3.091824
274,235912,0.548,0.943648
463,673452,0.926,2.693808
464,676408,0.928,2.705632
369,427740,0.738,1.71096
302,286520,0.604,1.14608
480,723804,0.96,2.895216
306,294168,0.612,1.176672
478,717824,0.956,2.871296
484,735968,0.968,2.943872
400,502652,0.8,2.010608
487,745120,0.974,2.98048
426,570148,0.852,2.280592
212,141192,0.424,0.564768
323,327760,0.646,1.31104
353,391496,0.706,1.565984
280,246288,0.56,0.985152
345,373896,0.69,1.495584
390,477880,0.78,1.91152
461,667648,0.922,2.670592
468,688028,0.936,2.752112
261,214036,0.522,0.856144
206,133344,0.412,0.533376
383,460852,0.766,1.843408
433,589016,0.866,2.356064
359,404936,0.718,1.619744
269,227336,0.538,0.909344
409,525556,0.818,2.102224
354,393712,0.708,1.574848
382,458464,0.764,1.833856
231,167652,0.462,0.670608
288,260600,0.576,1.0424
312,305844,0.624,1.223376
350,384852,0.7,1.539408
474,705868,0.948,2.823472
209,137208,0.418,0.548832
446,624948,0.892,2.499792
296,275260,0.592,1.10104
451,638988,0.902,2.555952
286,257008,0.572,1.028032
482,729924,0.964,2.919696
310,301916,0.62,1.207664
355,395956,0.71,1.583824
455,650384,0.91,2.601536
411,530740,0.822,2.12296
399,500200,0.798,2.0008
408,522928,0.816,2.091712
293,269724,0.586,1.078896
417,546292,0.834,2.185168
336,354680,0.672,1.41872
459,661916,0.918,2.647664
441,611000,0.882,2.444
273,234148,0.546,0.936592
337,356792,0.674,1.427168
402,507728,0.804,2.030912
230,166196,0.46,0.664784
479,720844,0.958,2.883376
241,182512,0.482,0.730048
363,413996,0.726,1.655984
311,303848,0.622,1.215392
278,242820,0.556,0.97128
332,346292,0.664,1.385168
375,441788,0.75,1.767152
371,432440,0.742,1.72976
252,199496,0.504,0.797984
214,143868,0.428,0.575472
228,163340,0.456,0.65336
428,575548,0.856,2.302192
370,430112,0.74,1.720448
315,311756,0.63,1.247024
208,135948,0.416,0.543792
275,237608,0.55,0.950432
233,170580,0.466,0.68232
495,769848,0.99,3.079392
220,152088,0.44,0.608352
469,691096,0.938,2.764384
458,659024,0.916,2.636096
327,335956,0.654,1.343824
491,757396,0.982,3.029584
454,647572,0.908,2.590288
262,215684,0.524,0.862736
263,217288,0.526,0.869152
203,129488,0.406,0.517952
404,512784,0.808,2.051136
358,402684,0.716,1.610736
490,754296,0.98,3.017184
443,616532,0.886,2.466128
291,266064,0.582,1.064256
437,599964,0.874,2.399856
360,407188,0.72,1.628752
257,207544,0.514,0.830176
448,630548,0.896,2.522192
398,497660,0.796,1.99064
266,222304,0.532,0.889216
331,344184,0.662,1.376736
384,463304,0.768,1.853216
421,556856,0.842,2.227424
268,225640,0.536,0.90256
271,230720,0.542,0.92288
372,434780,0.744,1.73912
321,323708,0.642,1.294832
297,277128,0.594,1.108512
498,779152,0.996,3.116608
466,682216,0.932,2.728864
303,288408,0.606,1.153632
218,149344,0.436,0.597376
222,154780,0.444,0.61912
414,538468,0.828,2.153872
386,468124,0.772,1.872496
476,711828,0.952,2.847312
438,602704,0.876,2.410816
244,187068,0.488,0.748272
343,369636,0.686,1.478544
325,331864,0.65,1.327456
314,309784,0.628,1.239136
326,333868,0.652,1.335472
410,528112,0.82,2.112448
201,126928,0.402,0.507712
341,365284,0.682,1.461136
439,605480,0.878,2.42192
392,482756,0.784,1.931024
349,382660,0.698,1.53064
