r,C,r_scaled,C_scaled
418,2771.10086400089,0.836,5.54220172800178
389,2578.93434175949,0.778,5.15786868351897
241,1596.44487630312,0.482,3.19288975260625
217,1437.24891681025,0.434,2.87449783362049
113,748.180807591246,0.226,1.49636161518249
309,2046.71904628279,0.618,4.09343809256559
370,2452.70894501505,0.74,4.9054178900301
337,2233.22871427467,0.674,4.46645742854935
438,2902.98311499482,0.876,5.80596622998965
142,940.347329832617,0.284,1.88069465966523
494,3273.65930522812,0.988,6.54731861045623
340,2252.54242277366,0.68,4.50508484554732
296,1961.46421228686,0.592,3.92292842457371
362,2398.08152801707,0.724,4.79616305603415
425,2817.72828099887,0.85,5.63545656199774
298,1975.12106653635,0.596,3.9502421330727
115,761.837661840739,0.23,1.52367532368148
72,476.416305603428,0.144,0.952832611206856
161,1066.57272657703,0.322,2.13314545315407
209,1384.96464556279,0.418,2.76992929112558
234,1549.81745930516,0.468,3.09963491861032
455,3015.55165748976,0.91,6.03110331497953
435,2883.66940649584,0.87,5.76733881299167
488,3235.03188823014,0.976,6.47006377646029
264,1749.98398154651,0.528,3.49996796309303
205,1357.65093706381,0.41,2.71530187412762
68,451.445742854951,0.136,0.902891485709901
91,602.641702347845,0.182,1.20528340469569
274,1815.92510704346,0.548,3.63185021408693
116,769.837661840739,0.232,1.53967532368148
351,2326.48354827062,0.702,4.65296709654124
292,1934.15050378787,0.584,3.86830100757575
403,2669.84603000493,0.806,5.33969206000986
103,682.239682094292,0.206,1.36447936418858
258,1709.01341879804,0.516,3.41802683759608
281,1862.55252404143,0.562,3.72510504808286
102,676.582827844799,0.204,1.3531656556896
287,1901.1799410394,0.574,3.8023598820788
275,1821.58196129296,0.55,3.64316392258591
434,2875.66940649584,0.868,5.75133881299167
499,3306.6298679766,0.998,6.61325973595319
341,2260.54242277366,0.682,4.52108484554732
314,2082.03275478178,0.628,4.16406550956355
360,2386.76781951809,0.72,4.77353563903617
146,967.661038331602,0.292,1.9353220766632
471,3122.46334573521,0.942,6.24492669147042
111,734.523953341754,0.222,1.46904790668351
150,994.974746830587,0.3,1.98994949366117
131,868.74935008617,0.262,1.73749870017234
202,1338.33722856483,0.404,2.67667445712966
462,3062.17907448774,0.924,6.12435814897548
401,2658.53232150595,0.802,5.31706464301189
307,2035.40533778381,0.614,4.07081067556762
317,2101.34646328076,0.634,4.20269292656152
469,3108.80649148571,0.938,6.21761298297143
301,1994.43477503533,0.602,3.98886955007067
466,3089.49278298673,0.932,6.17898556597345
190,1258.73924881839,0.38,2.51747849763678
446,2955.26738624229,0.892,5.91053477248459
379,2510.65007051201,0.758,5.02130014102402
266,1763.64083579601,0.532,3.52728167159201
178,1179.14126907195,0.356,2.3582825381439
97,643.612265096322,0.194,1.28722453019264
369,2444.70894501505,0.738,4.8894178900301
122,808.465078838708,0.244,1.61693015767742
412,2730.13030125241,0.824,5.46026060250481
53,350.190908859011,0.106,0.700381817718022
239,1582.78802205363,0.478,3.16557604410727
106,701.553390593277,0.212,1.40310678118655
399,2644.87546725645,0.798,5.2897509345129
382,2532.30692476151,0.764,5.06461384952302
