r,C,r_scaled,C_scaled
398,2636.87546725645,0.796,5.2737509345129
232,1538.50375080618,0.464,3.07700750161235
469,3108.80649148571,0.938,6.21761298297143
375,2485.67950776353,0.75,4.97135901552706
484,3207.71817973116,0.968,6.41543635946231
334,2213.91500577569,0.668,4.42783001155138
433,2870.01255224634,0.866,5.74002510449268
476,3155.43390848369,0.952,6.31086781696738
113,748.180807591246,0.226,1.49636161518249
367,2433.39523651606,0.734,4.86679047303213
277,1835.23881554245,0.554,3.67047763108489
412,2730.13030125241,0.824,5.46026060250481
205,1357.65093706381,0.41,2.71530187412762
499,3306.6298679766,0.998,6.61325973595319
390,2584.59119600898,0.78,5.16918239201796
466,3089.49278298673,0.932,6.17898556597345
477,3161.09076273318,0.954,6.32218152546637
456,3021.20851173926,0.912,6.04241702347852
272,1802.26825279397,0.544,3.60453650558794
330,2186.6012972767,0.66,4.3732025945534
410,2716.47344700291,0.82,5.43294689400582
190,1258.73924881839,0.38,2.51747849763678
478,3166.74761698268,0.956,6.33349523396535
158,1047.25901807805,0.316,2.0945180361561
486,3221.37503398065,0.972,6.4427500679613
300,1988.77792078584,0.6,3.97755584157168
148,981.317892581095,0.296,1.96263578516219
65,429.788888605458,0.13,0.859577777210916
143,948.347329832617,0.286,1.89669465966523
187,1239.42554031941,0.374,2.47885108063882
120,794.808224589216,0.24,1.58961644917843
250,1656.72914755058,0.5,3.31345829510116
266,1763.64083579601,0.532,3.52728167159201
328,2172.94444302721,0.656,4.34588888605442
227,1505.5331880577,0.454,3.0110663761154
219,1450.90577105974,0.438,2.90181154211948
167,1107.54328932551,0.334,2.21508657865102
376,2491.33636201302,0.752,4.98267272402605
438,2902.98311499482,0.876,5.80596622998965
424,2809.72828099887,0.848,5.61945656199774
391,2590.24805025847,0.782,5.18049610051694
241,1596.44487630312,0.482,3.19288975260625
416,2757.4440097514,0.832,5.51488801950279
74,490.07315985292,0.148,0.980146319705841
274,1815.92510704346,0.548,3.63185021408693
381,2524.30692476151,0.762,5.04861384952301
150,994.974746830587,0.3,1.98994949366117
140,926.690475583125,0.28,1.85338095116625
201,1332.68037431534,0.402,2.66536074863067
342,2266.19927702315,0.684,4.53239855404631
397,2631.21861300696,0.794,5.26243722601391
343,2274.19927702315,0.686,4.54839855404631
242,1604.44487630312,0.484,3.20888975260625
275,1821.58196129296,0.55,3.64316392258591
175,1159.82756057297,0.35,2.31965512114594
489,3240.68874247964,0.978,6.48137748495927
