r,C,r_scaled,C_scaled
153,1011.46002820483,0.306,2.02292005640965
76,500.901586977666,0.152,1.00180317395533
394,2609.07647738321,0.788,5.21815295476642
154,1017.11688245432,0.308,2.03423376490864
409,2707.98816562864,0.818,5.41597633125727
331,2191.77287015203,0.662,4.38354574030406
213,1409.44992693706,0.426,2.81889985387412
412,2727.30187412762,0.824,5.45460374825524
484,3204.88975260627,0.968,6.40977950521253
322,2131.48859890457,0.644,4.26297719780915
403,2667.01760288016,0.806,5.33403520576032
456,3018.38008461441,0.912,6.03676016922881
223,1475.39105243401,0.446,2.95078210486803
425,2814.89985387406,0.85,5.62979970774813
443,2933.12525061847,0.886,5.86625050123695
117,772.666088965484,0.234,1.54533217793097
53,347.362481734265,0.106,0.694724963468529
391,2587.41962313372,0.782,5.17483924626743
221,1461.73419818452,0.442,2.92346839636904
159,1050.08744520279,0.318,2.10017489040559
470,3111.63491861034,0.94,6.22326983722068
393,2601.07647738321,0.786,5.20215295476642
88,580.499566724113,0.176,1.16099913344823
113,745.352380466499,0.226,1.490704760933
175,1156.99913344823,0.35,2.31399826689645
78,514.558441227158,0.156,1.02911688245432
157,1038.77373670381,0.314,2.07754747340762
422,2793.24299962457,0.844,5.58648599924914
263,1739.15555442183,0.526,3.47831110884367
287,1898.35151391473,0.574,3.79670302782945
466,3086.66435586186,0.932,6.17332871172373
124,819.293505963454,0.248,1.63858701192691
86,566.842712474621,0.172,1.13368542494924
89,586.156420973605,0.178,1.17231284194721
308,2038.23376490864,0.616,4.07646752981727
176,1162.65598769772,0.352,2.32531197539544
228,1508.36161518249,0.456,3.01672323036498
343,2271.37084989847,0.686,4.54274169979694
146,964.832611206856,0.292,1.92966522241371
166,1096.71486220076,0.332,2.19342972440153
60,393.989898732234,0.12,0.787979797464469
244,1615.27330342792,0.488,3.23054660685585
145,959.175756957363,0.29,1.91835151391473
275,1818.75353416828,0.55,3.63750706833656
68,448.617315730204,0.136,0.897234631460408
337,2230.40028715,0.674,4.4608005743
278,1840.41038841777,0.556,3.68082077683555
451,2985.40952186593,0.902,5.97081904373186
439,2905.81154211949,0.878,5.81162308423898
50,328.04877323528,0.1,0.656097546470559
