r,A,r_scaled,A_scaled
280,246288,0.56,0.985152
382,458464,0.764,1.833856
278,242820,0.556,0.97128
342,367480,0.684,1.46992
272,232440,0.544,0.92976
320,321696,0.64,1.286784
254,202744,0.508,0.810976
294,271520,0.588,1.08608
466,682216,0.932,2.728864
470,694032,0.94,2.776128
434,591732,0.868,2.366928
380,453668,0.76,1.814672
274,235912,0.548,0.943648
268,225640,0.536,0.90256
290,264220,0.58,1.05688
336,354680,0.672,1.41872
250,196364,0.5,0.785456
300,282792,0.6,1.131168
364,416284,0.728,1.665136
458,659024,0.916,2.636096
258,209128,0.516,0.836512
422,559488,0.844,2.237952
384,463304,0.768,1.853216
410,528112,0.82,2.112448
376,444160,0.752,1.77664
248,193236,0.496,0.772944
428,575548,0.856,2.302192
282,249836,0.564,0.999344
264,218964,0.528,0.875856
236,175004,0.472,0.700016
472,699928,0.944,2.799712
210,138536,0.42,0.554144
240,180960,0.48,0.72384
208,135948,0.416,0.543792
406,517892,0.812,2.071568
412,533260,0.824,2.13304
420,554148,0.84,2.216592
218,149344,0.436,0.597376
312,305844,0.624,1.223376
302,286520,0.604,1.14608
486,742064,0.972,2.968256
452,641896,0.904,2.567584
286,257008,0.572,1.028032
362,411632,0.724,1.646528
446,624948,0.892,2.499792
360,407188,0.72,1.628752
310,301916,0.62,1.207664
200,125676,0.4,0.502704
368,425488,0.736,1.701952
490,754296,0.98,3.017184
372,434780,0.744,1.73912
366,420836,0.732,1.683344
358,402684,0.716,1.610736
492,760464,0.984,3.041856
398,497660,0.796,1.99064
296,275260,0.592,1.10104
392,482756,0.784,1.931024
352,389284,0.704,1.557136
256,205892,0.512,0.823568
354,393712,0.708,1.574848
334,350520,0.668,1.40208
232,169104,0.464,0.676416
448,630548,0.896,2.522192
224,157648,0.448,0.630592
276,239348,0.552,0.957392
444,619336,0.888,2.477344
348,380496,0.696,1.521984
400,502652,0.8,2.010608
404,512784,0.808,2.051136
252,199496,0.504,0.797984
242,184028,0.484,0.736112
260,212376,0.52,0.849504
328,337960,0.656,1.35184
216,146604,0.432,0.586416
266,222304,0.532,0.889216
488,748172,0.976,2.992688
222,154780,0.444,0.61912
418,548920,0.836,2.19568
324,329804,0.648,1.319216
304,290356,0.608,1.161424
292,267888,0.584,1.071552
388,472952,0.776,1.891808
204,130768,0.408,0.523072
246,190120,0.492,0.76048
338,358916,0.676,1.435664
468,688028,0.936,2.752112
414,538468,0.828,2.153872
432,586292,0.864,2.345168
284,253404,0.568,1.013616
202,128196,0.404,0.512784
330,342140,0.66,1.36856
262,215684,0.524,0.862736
424,564824,0.848,2.259296
426,570148,0.852,2.280592
332,346292,0.664,1.385168
356,398184,0.712,1.592736
500,785456,1,3.141824
378,448884,0.756,1.795536
340,363176,0.68,1.452704
482,729924,0.964,2.919696
456,653248,0.912,2.612992
228,163340,0.456,0.65336
370,430112,0.74,1.720448
316,313724,0.632,1.254896
350,384852,0.7,1.539408
106,35316,0.212,0.141264
80,20108,0.16,0.080432
144,65168,0.288,0.260672
100,31428,0.2,0.125712
128,51468,0.256,0.205872
172,92952,0.344,0.371808
140,61572,0.28,0.246288
116,42272,0.232,0.169088
180,101780,0.36,0.40712
78,19116,0.156,0.076464
76,18168,0.152,0.072672
136,58128,0.272,0.232512
192,115816,0.384,0.463264
92,26612,0.184,0.106448
58,10580,0.116,0.04232
182,104076,0.364,0.416304
88,24344,0.176,0.097376
96,28968,0.192,0.115872
132,54756,0.264,0.219024
114,40860,0.228,0.16344
64,12892,0.128,0.051568
50,7860,0.1,0.03144
62,12096,0.124,0.048384
72,16292,0.144,0.065168
160,80452,0.32,0.321808
98,30172,0.196,0.120688
148,68836,0.296,0.275344
138,59848,0.276,0.239392
94,27768,0.188,0.111072
146,66964,0.292,0.267856
82,21128,0.164,0.084512
196,120692,0.392,0.482768
152,72580,0.304,0.29032
52,8492,0.104,0.033968
60,11304,0.12,0.045216
168,88700,0.336,0.3548
154,74484,0.308,0.297936
74,17200,0.148,0.0688
190,113424,0.38,0.453696
184,106344,0.368,0.425376
70,15380,0.14,0.06152
120,45244,0.24,0.180976
84,22172,0.168,0.088688
142,63344,0.284,0.253376
178,99552,0.356,0.398208
110,38024,0.22,0.152096
130,53096,0.26,0.212384
176,97328,0.352,0.389312
68,14536,0.136,0.058144
170,90824,0.34,0.363296
86,23236,0.172,0.092944
188,111044,0.376,0.444176
