r,C,r_scaled,C_scaled
197,1305.36666581636,0.394,2.61073333163271
224,1483.87633380821,0.448,2.96775266761642
458,3034.86536598875,0.916,6.0697307319775
400,2650.53232150594,0.8,5.30106464301189
468,3100.80649148571,0.936,6.20161298297143
65,429.788888605458,0.13,0.859577777210916
177,1173.48441482246,0.354,2.34696882964492
284,1881.86623254041,0.568,3.76373246508083
77,509.386868351905,0.154,1.01877373670381
477,3161.09076273318,0.954,6.32218152546637
64,424.132034355966,0.128,0.848264068711932
422,2796.07142674937,0.844,5.59214285349875
114,756.180807591246,0.228,1.51236161518249
76,503.730014102413,0.152,1.00746002820483
228,1511.19004230719,0.456,3.02238008461439
455,3015.55165748976,0.91,6.03110331497953
276,1829.58196129296,0.552,3.65916392258591
296,1961.46421228686,0.592,3.92292842457371
168,1113.200143575,0.336,2.22640028715
386,2557.27748750999,0.772,5.11455497501998
133,882.406204335663,0.266,1.76481240867133
482,3194.06132548166,0.964,6.38812265096333
342,2266.19927702315,0.684,4.53239855404631
303,2008.09162928482,0.606,4.01618325856965
193,1278.05295731737,0.386,2.55610591463475
390,2584.59119600898,0.78,5.16918239201796
51,338.877200360026,0.102,0.677754400720053
301,1994.43477503533,0.602,3.98886955007067
263,1741.98398154651,0.526,3.48396796309303
176,1165.48441482246,0.352,2.33096882964492
461,3054.17907448774,0.922,6.10835814897548
181,1198.45497757093,0.362,2.39690995514187
56,371.847763108504,0.112,0.743695526217007
396,2625.56175875746,0.792,5.25112351751492
410,2716.47344700291,0.82,5.43294689400582
68,451.445742854951,0.136,0.902891485709901
470,3114.46334573521,0.94,6.22892669147042
213,1412.27835406177,0.426,2.82455670812355
100,662.925973595307,0.2,1.32585194719061
298,1975.12106653635,0.596,3.9502421330727
337,2233.22871427467,0.674,4.46645742854935
69,457.102597104443,0.138,0.914205194208886
388,2570.93434175948,0.776,5.14186868351897
244,1618.10173055262,0.488,3.23620346110523
96,635.612265096322,0.192,1.27122453019264
188,1245.0823945689,0.376,2.4901647891378
347,2299.16983977163,0.694,4.59833967954326
407,2697.15973850392,0.814,5.39431947700784
231,1530.50375080618,0.462,3.06100750161235
409,2710.81659275342,0.818,5.42163318550683
93,616.298556597337,0.186,1.23259711319467
302,2002.43477503533,0.604,4.00486955007067
92,610.641702347845,0.184,1.22128340469569
454,3009.89480324027,0.908,6.01978960648054
200,1324.68037431534,0.4,2.64936074863068
318,2107.00331753025,0.636,4.21400663506051
393,2603.90490450797,0.786,5.20780980901593
285,1889.86623254041,0.57,3.77973246508083
378,2504.99321626252,0.756,5.00998643252504
450,2982.58109474128,0.9,5.96516218948257
186,1233.76868606992,0.372,2.46753737213983
418,2771.10086400089,0.836,5.54220172800178
363,2406.08152801707,0.726,4.81216305603415
156,1033.60216382856,0.312,2.06720432765711
379,2510.65007051201,0.758,5.02130014102402
352,2332.14040252011,0.704,4.66428080504022
255,1689.69971029906,0.51,3.37939942059811
94,621.95541084683,0.188,1.24391082169366
295,1955.80735803737,0.59,3.91161471607473
314,2082.03275478178,0.628,4.16406550956355
99,657.269119345814,0.198,1.31453823869163
243,1610.10173055262,0.486,3.22020346110523
456,3021.20851173926,0.912,6.04241702347852
60,396.818325856981,0.12,0.793636651713962
252,1670.38600180007,0.504,3.34077200360015
70,462.759451353935,0.14,0.925518902707871
274,1815.92510704346,0.548,3.63185021408693
108,715.210244842769,0.216,1.43042048968554
494,3273.65930522812,0.988,6.54731861045623
227,1505.5331880577,0.454,3.0110663761154
87,577.671139599367,0.174,1.15534227919873
123,814.121933088201,0.246,1.6282438661764
151,1000.63160108008,0.302,2.00126320216016
395,2617.56175875746,0.79,5.23512351751492
249,1651.07229330109,0.498,3.30214458660218
160,1060.91587232754,0.32,2.12183174465508
436,2889.32626074533,0.872,5.77865252149066
210,1390.62149981228,0.42,2.78124299962457
259,1717.01341879804,0.518,3.43402683759608
305,2021.74848353432,0.61,4.04349696706863
118,781.151370339723,0.236,1.56230274067945
262,1736.32712729702,0.524,3.47265425459404
109,723.210244842769,0.218,1.44642048968554
248,1643.07229330109,0.496,3.28614458660218
110,728.867099092261,0.22,1.45773419818452
369,2444.70894501505,0.738,4.8894178900301
220,1458.90577105974,0.44,2.91781154211947
495,3281.65930522812,0.99,6.56331861045624
351,2326.48354827062,0.702,4.65296709654124
265,1755.64083579601,0.53,3.51128167159201
245,1623.75858480211,0.49,3.24751716960421
237,1571.47431355465,0.474,3.1429486271093
316,2093.34646328076,0.632,4.18669292656152
307,2035.40533778381,0.614,4.07081067556762
382,2532.30692476151,0.764,5.06461384952302
479,3174.74761698268,0.958,6.34949523396535
452,2996.23794899078,0.904,5.99247589798155
322,2134.31702602924,0.644,4.26863405205848
321,2126.31702602924,0.642,4.25263405205848
438,2902.98311499482,0.876,5.80596622998965
448,2968.92424049179,0.896,5.93784848098358
444,2941.6105319928,0.888,5.8832210639856
153,1014.28845532957,0.306,2.02857691065914
345,2285.51298552214,0.69,4.57102597104428
315,2087.68960903127,0.63,4.17537921806254
105,695.896536343784,0.21,1.39179307268757
154,1019.94530957906,0.308,2.03989061915813
419,2776.75771825039,0.838,5.55351543650077
348,2307.16983977163,0.696,4.61433967954327
120,794.808224589216,0.24,1.58961644917843
72,476.416305603428,0.144,0.952832611206856
453,3001.89480324027,0.906,6.00378960648054
500,3136.97301372709,1,6.27394602745417
162,1074.57272657703,0.324,2.14914545315407
73,484.416305603428,0.146,0.968832611206856
373,2472.02265351404,0.746,4.94404530702807
312,2068.37590053228,0.624,4.13675180106457
98,649.269119345814,0.196,1.29853823869163
271,1796.61139854448,0.542,3.59322279708896
415,2749.4440097514,0.83,5.49888801950279
208,1379.3077913133,0.416,2.7586155826266
146,967.661038331602,0.292,1.9353220766632
138,915.37676708414,0.276,1.83075353416828
366,2425.39523651606,0.732,4.85079047303212
330,2186.6012972767,0.66,4.3732025945534
457,3029.20851173926,0.914,6.05841702347852
430,2850.69884374735,0.86,5.7013976874947
225,1491.87633380821,0.45,2.98375266761642
113,748.180807591246,0.226,1.49636161518249
417,2763.10086400089,0.834,5.52620172800178
483,3202.06132548166,0.966,6.40412265096333
126,835.778787337693,0.252,1.67155757467539
275,1821.58196129296,0.55,3.64316392258591
139,921.033621333633,0.278,1.84206724266727
299,1980.77792078584,0.598,3.96155584157168
414,2743.7871555019,0.828,5.4875743110038
488,3235.03188823014,0.976,6.47006377646029
291,1928.49364953838,0.582,3.85698729907676
238,1577.13116780414,0.476,3.15426233560828
203,1346.33722856483,0.406,2.69267445712965
102,676.582827844799,0.204,1.3531656556896
195,1291.70981156686,0.39,2.58341962313373
187,1239.42554031941,0.374,2.47885108063882
326,2161.63073452822,0.652,4.32326146905645
204,1351.99408281432,0.408,2.70398816562864
325,2153.63073452822,0.65,4.30726146905645
399,2644.87546725645,0.798,5.2897509345129
459,3042.86536598875,0.918,6.0857307319775
78,517.386868351905,0.156,1.03477373670381
165,1093.88643507602,0.33,2.18777287015204
71,470.759451353936,0.142,0.941518902707871
158,1047.25901807805,0.316,2.0945180361561
163,1080.22958082653,0.326,2.16045916165305
57,377.504617357996,0.114,0.755009234715992
467,3095.14963723622,0.934,6.19029927447244
229,1516.84689655669,0.458,3.03369379311337
235,1557.81745930516,0.47,3.11563491861032
434,2875.66940649584,0.868,5.75133881299167
223,1478.21947955872,0.446,2.95643895911744
398,2636.87546725645,0.796,5.2737509345129
121,802.808224589216,0.242,1.60561644917843
364,2411.73838226657,0.728,4.82347676453313
300,1988.77792078584,0.6,3.97755584157168
346,2293.51298552214,0.692,4.58702597104428
465,3081.49278298673,0.93,6.16298556597345
82,542.357431100383,0.164,1.08471486220077
62,410.475180106473,0.124,0.820950360212947
473,3133.7770542342,0.946,6.26755410846839
159,1052.91587232754,0.318,2.10583174465508
383,2537.963779011,0.766,5.075927558022
175,1159.82756057297,0.35,2.31965512114594
334,2213.91500577569,0.668,4.42783001155138
59,391.161471607488,0.118,0.782322943214977
272,1802.26825279397,0.544,3.60453650558794
428,2837.04198949786,0.856,5.67408397899572
304,2013.74848353432,0.608,4.02749696706863
74,490.07315985292,0.148,0.980146319705841
338,2241.22871427467,0.676,4.48245742854935
333,2205.91500577569,0.666,4.41183001155137
84,556.014285349875,0.168,1.11202857069975
169,1121.200143575,0.338,2.24240028715
324,2147.97388027873,0.648,4.29594776055746
341,2260.54242277366,0.682,4.52108484554732
81,536.70057685089,0.162,1.07340115370178
97,643.612265096322,0.194,1.28722453019264
205,1357.65093706381,0.41,2.71530187412762
449,2974.58109474128,0.898,5.94916218948256
447,2963.2673862423,0.894,5.92653477248459
293,1942.15050378787,0.586,3.88430100757575
328,2172.94444302721,0.656,4.34588888605442
112,742.523953341754,0.224,1.48504790668351
119,789.151370339723,0.238,1.57830274067945
219,1450.90577105974,0.438,2.90181154211948
50,330.877200360026,0.1,0.661754400720053
242,1604.44487630312,0.484,3.20888975260625
52,344.534054609519,0.104,0.689068109219037
202,1338.33722856483,0.404,2.67667445712966
55,363.847763108504,0.11,0.727695526217007
384,2545.963779011,0.768,5.09192755802201
206,1365.65093706381,0.412,2.73130187412762
246,1629.4154390516,0.492,3.2588308781032
88,583.32799384886,0.176,1.16665598769772
460,3048.52222023825,0.92,6.09704444047649
189,1253.0823945689,0.378,2.5061647891378
270,1788.61139854448,0.54,3.57722279708896
269,1782.95454429499,0.538,3.56590908858998
360,2386.76781951809,0.72,4.77353563903617
439,2908.63996924432,0.878,5.81727993848863
198,1313.36666581635,0.396,2.62673333163271
289,1914.83679528889,0.578,3.82967359057778
239,1582.78802205363,0.478,3.16557604410727
89,588.984848098352,0.178,1.1779696961967
253,1676.04285604956,0.506,3.35208571209913
427,2829.04198949786,0.854,5.65808397899571
377,2499.33636201303,0.754,4.99867272402605
130,860.74935008617,0.26,1.72149870017234
106,701.553390593277,0.212,1.40310678118655
150,994.974746830587,0.3,1.98994949366117
416,2757.4440097514,0.832,5.51488801950279
267,1769.2976900455,0.534,3.53859538009099
264,1749.98398154651,0.528,3.49996796309303
281,1862.55252404143,0.562,3.72510504808286
136,901.719912834648,0.272,1.8034398256693
405,2683.50288425443,0.81,5.36700576850885
463,3067.83592873723,0.926,6.13567185747447
185,1225.76868606992,0.37,2.45153737213983
440,2916.63996924432,0.88,5.83327993848864
172,1140.51385207398,0.344,2.28102770414797
149,986.974746830587,0.298,1.97394949366117
131,868.74935008617,0.262,1.73749870017234
394,2611.90490450797,0.788,5.22380980901594
288,1909.1799410394,0.576,3.8183598820788
317,2101.34646328076,0.634,4.20269292656152
329,2180.94444302721,0.658,4.36188888605442
464,3075.83592873723,0.928,6.15167185747447
476,3155.43390848369,0.952,6.31086781696738
489,3240.68874247964,0.978,6.48137748495927
230,1524.84689655668,0.46,3.04969379311337
199,1319.02352006585,0.398,2.63804704013169
292,1934.15050378787,0.584,3.86830100757575
498,3300.9730137271,0.996,6.60194602745421
389,2578.93434175949,0.778,5.15786868351897
486,3221.37503398065,0.972,6.4427500679613
95,629.95541084683,0.19,1.25991082169366
406,2691.50288425443,0.812,5.38300576850886
323,2139.97388027873,0.646,4.27994776055746
286,1895.52308678991,0.572,3.79104617357981
147,973.317892581095,0.294,1.94663578516219
462,3062.17907448774,0.924,6.12435814897548
408,2702.81659275342,0.816,5.40563318550683
141,934.690475583125,0.282,1.86938095116625
282,1868.20937829092,0.564,3.73641875658185
53,350.190908859011,0.106,0.700381817718022
371,2458.36579926454,0.742,4.91673159852909
370,2452.70894501505,0.74,4.9054178900301
226,1497.5331880577,0.452,2.99506637611541
327,2167.28758877772,0.654,4.33457517755543
222,1470.21947955872,0.444,2.94043895911744
437,2897.32626074533,0.874,5.79465252149066
180,1192.79812332144,0.36,2.38559624664289
421,2790.41457249988,0.842,5.58082914499976
103,682.239682094292,0.206,1.36447936418858
340,2252.54242277366,0.68,4.50508484554732
134,888.063058585155,0.268,1.77612611717031
201,1332.68037431534,0.402,2.66536074863067
339,2246.88556852417,0.678,4.49377113704833
190,1258.73924881839,0.38,2.51747849763678
280,1854.55252404143,0.56,3.70910504808286
451,2988.23794899078,0.902,5.97647589798155
372,2466.36579926454,0.744,4.93273159852909
349,2312.82669402113,0.698,4.62565338804225
218,1445.24891681025,0.436,2.89049783362049
497,3292.9730137271,0.994,6.58594602745421
260,1722.67027304753,0.52,3.44534054609506
79,523.043722601398,0.158,1.0460874452028
432,2862.01255224634,0.864,5.72402510449268
240,1590.78802205363,0.48,3.18157604410727
117,775.494516090231,0.234,1.55098903218046
354,2345.79725676961,0.708,4.69159451353921
166,1099.54328932551,0.332,2.19908657865102
375,2485.67950776353,0.75,4.97135901552706
309,2046.71904628279,0.618,4.09343809256559
258,1709.01341879804,0.516,3.41802683759608
191,1266.73924881839,0.382,2.53347849763678
241,1596.44487630312,0.482,3.19288975260625
257,1703.35656454855,0.514,3.40671312909709
171,1132.51385207399,0.342,2.26502770414797
442,2930.29682349381,0.884,5.86059364698763
196,1299.70981156686,0.392,2.59941962313373
492,3260.00245097862,0.984,6.52000490195725
441,2922.29682349381,0.882,5.84459364698762
308,2041.0621920333,0.616,4.0821243840666
387,2565.27748750999,0.774,5.13055497501998
413,2738.13030125241,0.826,5.47626060250482
266,1763.64083579601,0.532,3.52728167159201
306,2027.40533778381,0.612,4.05481067556762
