index,funno,ihono,bias
0,1,1,0
1,7,3,-0.343833482157142
2,7,3,0.261370754157459
3,7,3,0.399985208425304
4,7,3,-0.276303158038365
5,7,3,0.0891347162863242
6,7,3,-0.317766425910869
7,7,3,-0.0646445214787431
8,7,3,0.0654795428869058
9,7,3,0.0327304027840906
10,7,3,-0.0806191044465207
11,7,3,-0.0423914057787115
12,7,3,0.33062712688942
13,7,3,0.0351378824534079
14,7,3,-0.371149774193232
15,7,3,-0.363014915451787
16,7,3,0.399212345328483
17,7,3,-0.514726331330171
18,7,3,0.192469696994432
19,7,3,0.171799175049195
20,7,3,0.0660916749400584
21,7,3,-0.218351742048102
22,7,3,0.15421571134515
23,1,2,-0.18241636573734
