r,A,r_scaled,A_scaled
413,535856,0.826,2.143424
486,742064,0.972,2.968256
264,218964,0.528,0.875856
376,444160,0.752,1.77664
320,321696,0.64,1.286784
349,382660,0.698,1.53064
331,344184,0.662,1.376736
449,633372,0.898,2.533488
454,647572,0.908,2.590288
250,196364,0.5,0.785456
337,356792,0.674,1.427168
397,495204,0.794,1.980816
473,702856,0.946,2.811424
370,430112,0.74,1.720448
390,477880,0.78,1.91152
377,446548,0.754,1.786192
477,714868,0.954,2.859472
488,748172,0.976,2.992688
451,638988,0.902,2.555952
378,448884,0.756,1.795536
315,311756,0.63,1.247024
387,470552,0.774,1.882208
222,154780,0.444,0.61912
242,184028,0.484,0.736112
487,745120,0.974,2.98048
440,608228,0.88,2.432912
301,284644,0.602,1.138576
398,497660,0.796,1.99064
316,313724,0.632,1.254896
256,205892,0.512,0.823568
500,785456,1,3.141824
277,241056,0.554,0.964224
416,543696,0.832,2.174784
206,133344,0.412,0.533376
303,288408,0.606,1.153632
494,766700,0.988,3.0668
319,319704,0.638,1.278816
366,420836,0.732,1.683344
238,177968,0.476,0.711872
297,277128,0.594,1.108512
298,279004,0.596,1.116016
252,199496,0.504,0.797984
481,726896,0.962,2.907584
499,782268,0.998,3.129072
312,305844,0.624,1.223376
230,166196,0.46,0.664784
296,275260,0.592,1.10104
226,160480,0.452,0.64192
442,613756,0.884,2.455024
368,425488,0.736,1.701952
483,732920,0.966,2.93168
200,125676,0.4,0.502704
219,150692,0.438,0.602768
248,193236,0.496,0.772944
462,670556,0.924,2.682224
260,212376,0.52,0.849504
214,143868,0.428,0.575472
480,723804,0.96,2.895216
302,286520,0.604,1.14608
369,427740,0.738,1.71096
469,691096,0.938,2.764384
276,239348,0.552,0.957392
274,235912,0.548,0.943648
478,717824,0.956,2.871296
295,273428,0.59,1.093712
300,282792,0.6,1.131168
401,505216,0.802,2.020864
314,309784,0.628,1.239136
381,456092,0.762,1.824368
474,705868,0.948,2.823472
446,624948,0.892,2.499792
353,391496,0.706,1.565984
395,490172,0.79,1.960688
262,215684,0.524,0.862736
313,307788,0.626,1.231152
415,541060,0.83,2.16424
240,180960,0.48,0.72384
408,522928,0.816,2.091712
261,214036,0.522,0.856144
491,757396,0.982,3.029584
273,234148,0.546,0.936592
475,708832,0.95,2.835328
485,738956,0.97,2.955824
283,251640,0.566,1.00656
254,202744,0.508,0.810976
497,775996,0.994,3.103984
484,735968,0.968,2.943872
272,232440,0.544,0.92976
231,167652,0.462,0.670608
470,694032,0.94,2.776128
498,779152,0.996,3.116608
281,248060,0.562,0.99224
343,369636,0.686,1.478544
212,141192,0.424,0.564768
217,147948,0.434,0.591792
443,616532,0.886,2.466128
362,411632,0.724,1.646528
414,538468,0.828,2.153872
285,255208,0.57,1.020832
471,696972,0.942,2.787888
441,611000,0.882,2.444
255,204296,0.51,0.817184
308,298032,0.616,1.192128
241,182512,0.482,0.730048
310,301916,0.62,1.207664
372,434780,0.744,1.73912
305,292288,0.61,1.169152
444,619336,0.888,2.477344
341,365284,0.682,1.461136
356,398184,0.712,1.592736
461,667648,0.922,2.670592
423,562164,0.846,2.248656
233,170580,0.466,0.68232
289,262376,0.578,1.049504
433,589016,0.866,2.356064
407,520408,0.814,2.081632
418,548920,0.836,2.19568
229,164744,0.458,0.658976
338,358916,0.676,1.435664
247,191676,0.494,0.766704
354,393712,0.708,1.574848
373,437112,0.746,1.748448
287,258796,0.574,1.035184
307,296092,0.614,1.184368
245,188604,0.49,0.754416
251,197916,0.502,0.791664
269,227336,0.538,0.909344
215,145232,0.43,0.580928
352,389284,0.704,1.557136
267,223996,0.534,0.895984
393,485200,0.786,1.9408
367,423152,0.734,1.692608
205,132020,0.41,0.52808
399,500200,0.798,2.0008
311,303848,0.622,1.215392
201,126928,0.402,0.507712
365,418576,0.73,1.674304
427,572848,0.854,2.291392
496,772956,0.992,3.091824
411,530740,0.822,2.12296
374,439408,0.748,1.757632
278,242820,0.556,0.97128
207,134624,0.414,0.538496
489,751208,0.978,3.004832
359,404936,0.718,1.619744
391,480280,0.782,1.92112
243,185520,0.486,0.74208
386,468124,0.772,1.872496
419,551560,0.838,2.20624
228,163340,0.456,0.65336
332,346292,0.664,1.385168
344,371756,0.688,1.487024
335,352580,0.67,1.41032
364,416284,0.728,1.665136
482,729924,0.964,2.919696
438,602704,0.876,2.410816
452,641896,0.904,2.567584
304,290356,0.608,1.161424
257,207544,0.514,0.830176
421,556856,0.842,2.227424
237,176488,0.474,0.705952
463,673452,0.926,2.693808
317,315768,0.634,1.263072
327,335956,0.654,1.343824
339,361072,0.678,1.444288
431,583644,0.862,2.334576
318,317700,0.636,1.2708
299,280908,0.598,1.123632
459,661916,0.918,2.647664
258,209128,0.516,0.836512
456,653248,0.912,2.612992
351,387064,0.702,1.548256
405,515320,0.81,2.06128
468,688028,0.936,2.752112
384,463304,0.768,1.853216
259,210764,0.518,0.843056
425,567412,0.85,2.269648
404,512784,0.808,2.051136
412,533260,0.824,2.13304
329,340076,0.658,1.360304
358,402684,0.716,1.610736
455,650384,0.91,2.601536
288,260600,0.576,1.0424
334,350520,0.668,1.40208
409,525556,0.818,2.102224
495,769848,0.99,3.079392
293,269724,0.586,1.078896
340,363176,0.68,1.452704
428,575548,0.856,2.302192
246,190120,0.492,0.76048
458,659024,0.916,2.636096
350,384852,0.7,1.539408
439,605480,0.878,2.42192
402,507728,0.804,2.030912
213,142556,0.426,0.570224
434,591732,0.868,2.366928
429,578212,0.858,2.312848
360,407188,0.72,1.628752
263,217288,0.526,0.869152
209,137208,0.418,0.548832
437,599964,0.874,2.399856
235,173512,0.47,0.694048
284,253404,0.568,1.013616
348,380496,0.696,1.521984
389,475452,0.778,1.901808
234,171988,0.468,0.687952
466,682216,0.932,2.728864
280,246288,0.56,0.985152
430,580872,0.86,2.323488
253,201100,0.506,0.8044
95,28372,0.19,0.113488
127,50696,0.254,0.202784
108,36624,0.216,0.146496
115,41564,0.23,0.166256
177,98452,0.354,0.393808
66,13692,0.132,0.054768
128,51468,0.256,0.205872
65,13264,0.13,0.053056
125,49080,0.25,0.19632
198,123160,0.396,0.49264
184,106344,0.368,0.425376
175,96224,0.35,0.384896
152,72580,0.304,0.29032
86,23236,0.172,0.092944
93,27192,0.186,0.108768
90,25448,0.18,0.101792
144,65168,0.288,0.260672
61,11684,0.122,0.046736
102,32688,0.204,0.130752
165,85564,0.33,0.342256
147,67896,0.294,0.271584
151,71636,0.302,0.286544
155,75496,0.31,0.301984
135,57268,0.27,0.229072
81,20636,0.162,0.082544
188,111044,0.376,0.444176
139,60728,0.278,0.242912
183,105204,0.366,0.420816
120,45244,0.24,0.180976
157,77452,0.314,0.309808
171,91860,0.342,0.36744
55,9500,0.11,0.038
118,43748,0.236,0.174992
67,14108,0.134,0.056432
181,102920,0.362,0.41168
180,101780,0.36,0.40712
79,19616,0.158,0.078464
97,29580,0.194,0.11832
145,66076,0.29,0.264304
129,52276,0.258,0.209104
168,88700,0.336,0.3548
163,83492,0.326,0.333968
186,108720,0.372,0.43488
173,94056,0.346,0.376224
122,46792,0.244,0.187168
121,46008,0.242,0.184032
193,117032,0.386,0.468128
60,11304,0.12,0.045216
150,70688,0.3,0.282752
123,47516,0.246,0.190064
89,24884,0.178,0.099536
156,76472,0.312,0.305888
68,14536,0.136,0.058144
75,17692,0.15,0.070768
138,59848,0.276,0.239392
179,100668,0.358,0.402672
