r,A,r_scaled,A_scaled
355,389837.333333333,0.71,1.55934933333333
320,322218.666666667,0.64,1.28887466666667
330,303468,0.66,1.213872
470,727497.333333333,0.94,2.90998933333333
410,506541.333333333,0.82,2.02616533333333
275,233933.333333333,0.55,0.935733333333333
395,501360.333333333,0.79,2.00544133333333
445,662723.666666667,0.89,2.65089466666667
280,263424,0.56,1.053696
220,151008,0.44,0.604032
205,129437,0.41,0.517748
210,138768,0.42,0.555072
465,706335,0.93,2.82534
340,385333.333333333,0.68,1.54133333333333
375,433125,0.75,1.7325
350,374033.333333333,0.7,1.49613333333333
425,558733.333333333,0.85,2.23493333333333
295,278480,0.59,1.11392
435,580290,0.87,2.32116
450,612900,0.9,2.4516
200,129066.666666667,0.4,0.516266666666667
325,343633.333333333,0.65,1.37453333333333
390,478608,0.78,1.914432
490,736306.666666667,0.98,2.94522666666667
255,201144,0.51,0.804576
335,335178.666666667,0.67,1.34071466666667
315,322812,0.63,1.291248
480,721920,0.96,2.88768
245,188078.333333333,0.49,0.752313333333333
415,502897,0.83,2.011588
360,406080,0.72,1.62432
455,654199,0.91,2.616796
440,622101.333333333,0.88,2.48840533333333
400,509866.666666667,0.8,2.03946666666667
345,391989,0.69,1.567956
380,437050.666666667,0.76,1.74820266666667
230,165753.333333333,0.46,0.663013333333333
250,206666.666666667,0.5,0.826666666666667
300,291600,0.6,1.1664
305,290238,0.61,1.160952
365,405004,0.73,1.620016
225,166050,0.45,0.6642
70,15353.3333333333,0.14,0.0614133333333333
120,43008,0.24,0.172032
95,29241,0.19,0.116964
135,57348,0.27,0.229392
155,80724,0.31,0.322896
50,8133.33333333333,0.1,0.0325333333333333
65,13520,0.13,0.05408
195,123708,0.39,0.494832
130,53854.6666666667,0.26,0.215418666666667
110,38720,0.22,0.15488
125,50625,0.25,0.2025
75,17025,0.15,0.0681
185,107694.666666667,0.37,0.430778666666667
105,35721,0.21,0.142884
160,77482.6666666667,0.32,0.309930666666667
170,90168,0.34,0.360672
145,68121,0.29,0.272484
80,19882.6666666667,0.16,0.0795306666666667
100,29866.6666666667,0.2,0.119466666666667
180,102816,0.36,0.411264
55,9317,0.11,0.037268
