r,A,r_scaled,A_scaled
240,180960,0.48,0.72384
384,463304,0.768,1.853216
220,152088,0.44,0.608352
274,235912,0.548,0.943648
282,249836,0.564,0.999344
486,742064,0.972,2.968256
394,487692,0.788,1.950768
474,705868,0.948,2.823472
404,512784,0.808,2.051136
254,202744,0.508,0.810976
424,564824,0.848,2.259296
204,130768,0.408,0.523072
448,630548,0.896,2.522192
272,232440,0.544,0.92976
332,346292,0.664,1.385168
266,222304,0.532,0.889216
200,125676,0.4,0.502704
422,559488,0.844,2.237952
290,264220,0.58,1.05688
418,548920,0.836,2.19568
434,591732,0.868,2.366928
294,271520,0.588,1.08608
228,163340,0.456,0.65336
338,358916,0.676,1.435664
366,420836,0.732,1.683344
408,522928,0.816,2.091712
400,502652,0.8,2.010608
246,190120,0.492,0.76048
426,570148,0.852,2.280592
376,444160,0.752,1.77664
416,543696,0.832,2.174784
362,411632,0.724,1.646528
328,337960,0.656,1.35184
318,317700,0.636,1.2708
208,135948,0.416,0.543792
296,275260,0.592,1.10104
356,398184,0.712,1.592736
336,354680,0.672,1.41872
444,619336,0.888,2.477344
480,723804,0.96,2.895216
280,246288,0.56,0.985152
270,229020,0.54,0.91608
230,166196,0.46,0.664784
202,128196,0.404,0.512784
454,647572,0.908,2.590288
312,305844,0.624,1.223376
396,492672,0.792,1.970688
464,676408,0.928,2.705632
484,735968,0.968,2.943872
304,290356,0.608,1.161424
314,309784,0.628,1.239136
442,613756,0.884,2.455024
210,138536,0.42,0.554144
462,670556,0.924,2.682224
382,458464,0.764,1.833856
466,682216,0.932,2.728864
340,363176,0.68,1.452704
380,453668,0.76,1.814672
470,694032,0.94,2.776128
372,434780,0.744,1.73912
492,760464,0.984,3.041856
242,184028,0.484,0.736112
498,779152,0.996,3.116608
250,196364,0.5,0.785456
348,380496,0.696,1.521984
370,430112,0.74,1.720448
346,376148,0.692,1.504592
478,717824,0.956,2.871296
298,279004,0.596,1.116016
364,416284,0.728,1.665136
286,257008,0.572,1.028032
292,267888,0.584,1.071552
432,586292,0.864,2.345168
460,664796,0.92,2.659184
216,146604,0.432,0.586416
420,554148,0.84,2.216592
316,313724,0.632,1.254896
468,688028,0.936,2.752112
414,538468,0.828,2.153872
482,729924,0.964,2.919696
258,209128,0.516,0.836512
276,239348,0.552,0.957392
450,636160,0.9,2.54464
446,624948,0.892,2.499792
232,169104,0.464,0.676416
496,772956,0.992,3.091824
214,143868,0.428,0.575472
494,766700,0.988,3.0668
324,329804,0.648,1.319216
352,389284,0.704,1.557136
438,602704,0.876,2.410816
412,533260,0.824,2.13304
344,371756,0.688,1.487024
300,282792,0.6,1.131168
392,482756,0.784,1.931024
218,149344,0.436,0.597376
354,393712,0.708,1.574848
222,154780,0.444,0.61912
284,253404,0.568,1.013616
264,218964,0.528,0.875856
268,225640,0.536,0.90256
256,205892,0.512,0.823568
390,477880,0.78,1.91152
320,321696,0.64,1.286784
212,141192,0.424,0.564768
72,16292,0.144,0.065168
112,39428,0.224,0.157712
56,9856,0.112,0.039424
58,10580,0.116,0.04232
132,54756,0.264,0.219024
160,80452,0.32,0.321808
176,97328,0.352,0.389312
148,68836,0.296,0.275344
178,99552,0.356,0.398208
78,19116,0.156,0.076464
76,18168,0.152,0.072672
66,13692,0.132,0.054768
144,65168,0.288,0.260672
158,78456,0.316,0.313824
172,92952,0.344,0.371808
108,36624,0.216,0.146496
120,45244,0.24,0.180976
94,27768,0.188,0.111072
140,61572,0.28,0.246288
156,76472,0.312,0.305888
130,53096,0.26,0.212384
92,26612,0.184,0.106448
84,22172,0.168,0.088688
82,21128,0.164,0.084512
152,72580,0.304,0.29032
62,12096,0.124,0.048384
186,108720,0.372,0.43488
180,101780,0.36,0.40712
110,38024,0.22,0.152096
146,66964,0.292,0.267856
88,24344,0.176,0.097376
106,35316,0.212,0.141264
154,74484,0.308,0.297936
70,15380,0.14,0.06152
114,40860,0.228,0.16344
60,11304,0.12,0.045216
162,82452,0.324,0.329808
170,90824,0.34,0.363296
116,42272,0.232,0.169088
138,59848,0.276,0.239392
74,17200,0.148,0.0688
80,20108,0.16,0.080432
198,123160,0.396,0.49264
182,104076,0.364,0.416304
134,56428,0.268,0.225712
174,95132,0.348,0.380528
96,28968,0.192,0.115872
190,113424,0.38,0.453696
124,48320,0.248,0.19328
90,25448,0.18,0.101792
104,33992,0.208,0.135968
196,120692,0.392,0.482768
